FUTURE LIFESTYLE FASHIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 5.14 , 30.89 , 37.24 , 37.92 , 38.00 , 38.08 
Reserves, -   , -   , -   , -   , (0.34)," 1,260.43 "," 1,532.48 "," 1,585.32 "," 1,249.88 "," 1,355.80 "
Borrowings, -   , -   , -   , -   , -   ," 1,355.78 "," 1,244.40 "," 1,140.54 ", 681.75 , 722.50 
Other Liabilities, -   , -   , -   , -   , 0.01 ," 1,296.08 "," 1,137.47 "," 1,221.12 "," 1,367.21 "," 1,379.29 "
Total, -   , -   , -   , -   , 4.81 ," 3,943.18 "," 3,951.59 "," 3,984.90 "," 3,336.84 "," 3,495.67 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   ," 1,149.86 "," 1,301.90 "," 1,242.77 ", 711.92 , 900.32 
Capital Work in Progress, -   , -   , -   , -   , -   , 189.54 , 172.12 , 186.23 , 189.82 , 290.21 
Investments, -   , -   , -   , -   , -   , 378.53 , 343.69 , 375.43 , 48.28 , 50.18 
Other Assets, -   , -   , -   , -   , 4.81 ," 2,225.25 "," 2,133.88 "," 2,180.47 "," 2,386.82 "," 2,254.96 "
Total, -   , -   , -   , -   , 4.81 ," 3,943.18 "," 3,951.59 "," 3,984.90 "," 3,336.84 "," 3,495.67 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , 4.80 , 929.17 , 996.41 , 959.35 ," 1,019.61 ", 875.67 
Debtors, -   , -   , -   , -   , -   , 263.20 , 269.23 , 241.85 , 205.82 , 174.54 
Inventory, -   , -   , -   , -   , -   ," 1,023.97 "," 1,173.17 "," 1,305.00 "," 1,418.02 "," 1,452.16 "
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 35.01 , 31.35 , 26.75 , 19.44 , 15.10 
Inventory Turnover, -   , -   , -   , -   , -   , 2.68 , 2.67 , 2.53 , 2.73 , 2.91 
,,,,,,,,,,
Return on Equity,,,,,-7%,2%,1%,2%,12%,8%
Return on Capital Emp,,,,,-14%,15%,7%,6%,13%,12%
,,,,,,,,,,
