GANESH HOUSING CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 32.66 , 32.66 , 32.66 , 32.66 , 32.66 , 32.66 , 32.67 , 32.67 , 49.00 , 49.23 
Reserves, 427.79 , 468.51 , 517.87 , 544.97 , 583.45 , 615.98 , 637.96 , 679.07 , 688.25 , 717.81 
Borrowings, 94.43 , 104.33 , 275.57 , 275.02 , 304.55 , 301.12 , 282.88 , 290.65 , 357.26 , 429.12 
Other Liabilities, 75.13 , 86.68 , 76.36 , 63.35 , 60.19 , 78.75 , 79.85 , 90.10 , 91.43 , 76.50 
Total, 630.01 , 692.18 , 902.46 , 916.00 , 980.85 ," 1,028.51 "," 1,033.36 "," 1,092.49 "," 1,185.94 "," 1,272.66 "
,,,,,,,,,,
Net Block, 45.20 , 44.47 , 61.03 , 62.18 , 59.90 , 53.55 , 211.69 , 211.50 , 210.40 , 208.33 
Capital Work in Progress, 6.38 , 8.25 , 2.73 , 1.08 , 1.08 , -   , -   , 2.01 , -   , -   
Investments, 2.51 , 49.93 , 137.30 , 137.32 , 193.22 , 193.23 , 193.23 , 193.23 , 205.48 , 202.97 
Other Assets, 575.92 , 589.53 , 701.40 , 715.42 , 726.65 , 781.73 , 628.44 , 685.75 , 770.06 , 861.36 
Total, 630.01 , 692.18 , 902.46 , 916.00 , 980.85 ," 1,028.51 "," 1,033.36 "," 1,092.49 "," 1,185.94 "," 1,272.66 "
,,,,,,,,,,
Working Capital, 500.79 , 502.85 , 625.04 , 652.07 , 666.46 , 702.98 , 548.59 , 595.65 , 678.63 , 784.86 
Debtors, 165.56 , 175.82 , 126.69 , 190.27 , 203.32 , 184.83 , 177.63 , 98.84 , 59.54 , 121.40 
Inventory, 15.96 , 26.45 , 18.61 , 5.11 , 6.89 , 24.56 , 29.11 , 34.46 , 37.07 , 6.13 
,,,,,,,,,,
Debtor Days," 1,100.72 ", 640.78 , 288.49 , 407.63 , 481.18 , 381.45 , 352.94 , 182.81 , 123.09 , 213.85 
Inventory Turnover, 3.44 , 3.79 , 8.61 , 33.34 , 22.38 , 7.20 , 6.31 , 5.73 , 4.76 , 33.80 
,,,,,,,,,,
Return on Equity,11%,9%,10%,5%,7%,6%,5%,6%,5%,5%
Return on Capital Emp,,12%,14%,10%,12%,12%,10%,11%,11%,11%
,,,,,,,,,,
