AMBER ENTERPRISES INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 14.32 , 17.89 , 21.70 , 21.70 , 21.70 , 23.81 , 31.45 
Reserves, -   , -   , -   , 61.72 , 114.05 , 184.35 , 210.18 , 230.61 , 329.49 , 851.53 
Borrowings, -   , -   , -   , 194.14 , 253.96 , 287.95 , 335.37 , 318.88 , 371.69 , 44.01 
Other Liabilities, -   , -   , -   , 136.67 , 302.78 , 301.19 , 370.63 , 475.47 , 493.28 , 604.41 
Total, -   , -   , -   , 406.85 , 688.68 , 795.19 , 937.88 ," 1,046.66 "," 1,218.27 "," 1,531.40 "
,,,,,,,,,,
Net Block, -   , -   , -   , 156.24 , 231.35 , 295.56 , 357.65 , 438.55 , 486.63 , 525.58 
Capital Work in Progress, -   , -   , -   , 9.27 , 23.93 , 50.09 , 49.24 , 27.70 , 16.89 , 19.61 
Investments, -   , -   , -   , 0.99 , 41.75 , 41.75 , 50.30 , 50.30 , 50.30 , 111.94 
Other Assets, -   , -   , -   , 240.35 , 391.65 , 407.79 , 480.69 , 530.11 , 664.45 , 874.27 
Total, -   , -   , -   , 406.85 , 688.68 , 795.19 , 937.88 ," 1,046.66 "," 1,218.27 "," 1,531.40 "
,,,,,,,,,,
Working Capital, -   , -   , -   , 103.68 , 88.87 , 106.60 , 110.06 , 54.64 , 171.17 , 269.86 
Debtors, -   , -   , -   , 74.24 , 159.34 , 141.16 , 208.42 , 233.23 , 292.87 , 335.83 
Inventory, -   , -   , -   , 105.44 , 144.35 , 159.20 , 175.31 , 208.44 , 246.58 , 327.90 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 49.98 , 70.83 , 61.46 , 70.36 , 87.04 , 68.44 , 63.74 
Inventory Turnover, -   , -   , -   , 5.14 , 5.69 , 5.27 , 6.17 , 4.69 , 6.33 , 5.86 
,,,,,,,,,,
Return on Equity,,,,18%,14%,9%,11%,8%,7%,7%
Return on Capital Emp,,,,19%,14%,12%,14%,13%,15%,16%
,,,,,,,,,,
