GATI LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 618.08 , 744.72 , 904.77 , 704.68 , 161.29 , 252.14 , 443.25 , 485.15 , 498.09 , 446.11 , 500.67 , 500.67 , 398.00 
Expenses, 568.61 , 665.01 , 811.51 , 631.52 , 145.01 , 240.99 , 401.93 , 441.97 , 475.23 , 438.92 , 482.76 , 475.02 , 383.77 
Operating Profit, 49.47 , 79.71 , 93.26 , 73.16 , 16.28 , 11.15 , 41.32 , 43.18 , 22.86 , 7.19 , 17.91 , 25.65 , 14.24 
Other Income, (4.82), 10.42 , 3.32 , 96.92 , 7.96 , 10.45 , 8.36 , 12.85 , 25.84 , 59.68 , 6.13 , -   , -   
Depreciation, 23.01 , 23.87 , 21.61 , 27.20 , 2.09 , 4.05 , 10.09 , 16.19 , 5.13 , 4.95 , 4.03 , 4.03 , 4.03 
Interest, 35.41 , 47.11 , 52.03 , 47.09 , 5.98 , 4.69 , 13.92 , 17.53 , 23.69 , 21.24 , 16.36 , 16.36 , 16.36 
Profit before tax, (13.77), 19.15 , 22.94 , 95.78 , 16.18 , 12.86 , 25.68 , 22.32 , 19.88 , 40.68 , 3.65 , 5.26 , (6.15)
Tax, 1.29 , 4.04 , 8.64 , 23.79 , (9.18), (7.69), 1.81 , 2.51 , 2.33 , 6.20 , (3.76),-103%,-103%
Net profit, (15.06), 15.11 , 14.30 , 72.00 , 25.36 , 20.56 , 23.87 , 19.82 , 17.56 , 34.48 , 7.41 , 10.68 , (12.49)
EPS, (1.77), 1.77 , 1.66 , 8.32 , 2.93 , 2.36 , 2.73 , 2.26 , 1.99 , 3.18 , 0.68 , 0.98 , (1.15)
Price to earning, (26.46), 41.26 , 42.65 , 4.69 , 8.55 , 36.80 , 80.89 , 51.91 , 69.26 , 32.66 , 119.97 , 119.97 , 48.86 
Price, 46.95 , 73.21 , 70.91 , 38.96 , 25.06 , 86.70 , 220.73 , 117.29 , 137.91 , 103.93 , 81.90 , 118.05 , (56.23)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,22.57%,30.07%,13.24%,20.50%,29.72%,51.32%,44.30%,40.21%,28.28%,,,
OPM,8.00%,10.70%,10.31%,10.38%,10.09%,4.42%,9.32%,8.90%,4.59%,1.61%,3.58%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-3.56%,-9.61%,22.57%,0.21%,12.23%,12.23%,-9.61%
,,,,,,OPM,8.32%,7.19%,5.92%,5.12%,3.58%,5.12%,3.58%
,,,,,,Price to Earning, 48.86 , 50.59 , 65.25 , 68.45 , 119.97 , 119.97 , 48.86 
