MARAL OVERSEAS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 21.76 , 41.51 , 41.51 , 41.51 , 41.51 , 41.51 , 41.51 , 41.51 , 41.51 , 41.51 
Reserves, (46.32), (43.74), (32.96), (36.67), (15.03), 14.48 , 26.79 , 38.08 , 52.55 , 52.32 
Borrowings, 288.80 , 276.56 , 289.32 , 243.03 , 233.41 , 216.22 , 200.84 , 212.42 , 231.22 , 211.11 
Other Liabilities, 112.51 , 108.72 , 141.15 , 111.05 , 103.96 , 103.27 , 97.23 , 82.13 , 107.13 , 110.28 
Total, 376.75 , 383.05 , 439.02 , 358.92 , 363.85 , 375.48 , 366.37 , 374.14 , 432.41 , 415.22 
,,,,,,,,,,
Net Block, 238.91 , 230.12 , 213.44 , 197.23 , 185.37 , 164.67 , 171.46 , 153.23 , 157.92 , 157.30 
Capital Work in Progress, 0.11 , 0.04 , 0.92 , 1.11 , 1.76 , 0.80 , 2.88 , 11.00 , 3.02 , 13.28 
Investments, 0.14 , 0.03 , 0.03 , 0.13 , 0.13 , 0.13 , 0.13 , 0.13 , 0.62 , 0.50 
Other Assets, 137.59 , 152.86 , 224.63 , 160.45 , 176.59 , 209.88 , 191.90 , 209.78 , 270.85 , 244.14 
Total, 376.75 , 383.05 , 439.02 , 358.92 , 363.85 , 375.48 , 366.37 , 374.14 , 432.41 , 415.22 
,,,,,,,,,,
Working Capital, 25.08 , 44.14 , 83.48 , 49.40 , 72.63 , 106.61 , 94.67 , 127.65 , 163.72 , 133.86 
Debtors, 33.00 , 31.30 , 56.60 , 37.83 , 36.32 , 35.02 , 43.47 , 47.71 , 81.39 , 82.43 
Inventory, 37.42 , 57.52 , 108.04 , 65.77 , 87.79 , 129.64 , 97.38 , 123.17 , 151.31 , 108.16 
,,,,,,,,,,
Debtor Days, 23.92 , 60.34 , 40.48 , 25.77 , 23.72 , 19.56 , 24.47 , 28.14 , 44.58 , 46.96 
Inventory Turnover, 13.46 , 3.29 , 4.72 , 8.15 , 6.37 , 5.04 , 6.66 , 5.02 , 4.40 , 5.92 
,,,,,,,,,,
Return on Equity,,,151%,-40%,91%,53%,24%,13%,15%,1%
Return on Capital Emp,,6%,13%,9%,18%,19%,14%,12%,12%,6%
,,,,,,,,,,
