APTECH LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 112.99 , 123.78 , 94.15 , 90.95 , 101.99 , 104.53 , 100.42 , 90.85 , 123.23 , 159.14 , 140.78 , 205.51 , 164.60 
Expenses, 100.08 , 100.71 , 79.35 , 77.76 , 83.09 , 81.65 , 79.17 , 74.54 , 108.94 , 148.65 , 131.41 , 182.89 , 153.65 
Operating Profit, 12.91 , 23.07 , 14.80 , 13.19 , 18.90 , 22.88 , 21.25 , 16.31 , 14.29 , 10.49 , 9.37 , 22.63 , 10.96 
Other Income, (14.10), 112.42 , 4.87 , 12.24 , 18.28 , 11.33 , 4.80 , 3.36 , 4.68 , 19.88 , 4.71 , -   , -   
Depreciation, 13.07 , 12.70 , 8.87 , 7.04 , 6.27 , 4.94 , 5.77 , 6.42 , 6.85 , 7.51 , 7.00 , 7.00 , 7.00 
Interest, 2.34 , 3.56 , 2.46 , 0.19 , 0.28 , 0.28 , 0.37 , 0.27 , 0.04 , 0.06 , 0.09 , 0.09 , 0.09 
Profit before tax, (16.60), 119.24 , 8.34 , 18.20 , 30.63 , 28.99 , 19.91 , 12.96 , 12.07 , 22.80 , 6.99 , 15.54 , 3.87 
Tax, (21.35), 32.81 , 0.45 , -   , 5.36 , 5.60 , 3.42 , 2.77 , 2.64 , 3.74 , 1.79 ,26%,26%
Net profit, 4.75 , 86.43 , 7.89 , 18.20 , 25.27 , 23.39 , 16.49 , 10.19 , 9.44 , 19.06 , 5.20 , 11.56 , 2.88 
EPS, 1.02 , 18.57 , 1.62 , 3.73 , 5.18 , 5.86 , 4.13 , 2.55 , 2.37 , 4.78 , 1.30 , 2.90 , 0.72 
Price to earning, 80.10 , 9.22 , 67.82 , 21.05 , 8.81 , 13.10 , 14.64 , 24.25 , 95.36 , 57.46 , 119.71 , 119.71 , 44.30 
Price, 81.82 , 171.14 , 109.72 , 78.52 , 45.64 , 76.81 , 60.50 , 61.95 , 225.64 , 274.53 , 156.05 , 346.84 , 31.93 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,5.39%,154.50%,160.82%,77.25%,76.74%,78.59%,39.16%,126.80%,73.24%,,,
OPM,11.43%,18.64%,15.72%,14.50%,18.53%,21.89%,21.16%,17.95%,11.60%,6.59%,6.66%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.88%,7.79%,9.31%,16.59%,29.14%,29.14%,3.88%
,,,,,,OPM,15.25%,15.21%,14.74%,11.01%,6.66%,11.01%,6.66%
,,,,,,Price to Earning, 46.50 , 44.30 , 54.09 , 74.19 , 119.71 , 119.71 , 44.30 
