ESSEL PROPACK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 31.31 , 31.31 , 31.31 , 31.31 , 31.41 , 31.41 , 31.42 , 31.42 , 31.43 , 31.45 
Reserves, 553.04 , 579.72 , 612.88 , 635.51 , 669.61 , 701.09 , 448.44 , 566.96 , 590.66 , 623.26 
Borrowings, 552.23 , 476.07 , 424.44 , 536.30 , 444.39 , 394.58 , 390.10 , 195.83 , 193.37 , 193.06 
Other Liabilities, 87.70 , 86.22 , 94.53 , 121.35 , 117.74 , 144.36 , 133.57 , 131.15 , 150.04 , 151.71 
Total," 1,224.28 "," 1,173.32 "," 1,163.16 "," 1,324.47 "," 1,263.15 "," 1,271.44 "," 1,003.53 ", 925.36 , 965.50 , 999.48 
,,,,,,,,,,
Net Block, 162.44 , 154.34 , 181.66 , 235.30 , 263.18 , 305.79 , 323.12 , 321.11 , 356.01 , 344.36 
Capital Work in Progress, 18.88 , 20.94 , 18.24 , 16.97 , 2.45 , 8.71 , 7.27 , 17.32 , 23.21 , 26.84 
Investments, 574.43 , 573.40 , 568.59 , 563.53 , 563.53 , 569.96 , 290.79 , 220.38 , 220.60 , 218.94 
Other Assets, 468.53 , 424.64 , 394.67 , 508.67 , 433.99 , 386.98 , 382.35 , 366.55 , 365.68 , 409.34 
Total," 1,224.28 "," 1,173.32 "," 1,163.16 "," 1,324.47 "," 1,263.15 "," 1,271.44 "," 1,003.53 ", 925.36 , 965.50 , 999.48 
,,,,,,,,,,
Working Capital, 380.83 , 338.42 , 300.14 , 387.32 , 316.25 , 242.62 , 248.78 , 235.40 , 215.64 , 257.63 
Debtors, 84.63 , 73.02 , 76.14 , 101.17 , 101.27 , 89.94 , 109.33 , 100.44 , 103.76 , 129.13 
Inventory, 53.40 , 43.83 , 62.51 , 54.67 , 63.83 , 72.78 , 67.32 , 65.33 , 66.73 , 83.05 
,,,,,,,,,,
Debtor Days, 92.50 , 62.48 , 66.43 , 74.36 , 63.83 , 49.29 , 52.88 , 49.35 , 47.61 , 56.81 
Inventory Turnover, 6.25 , 9.73 , 6.69 , 9.08 , 9.07 , 9.15 , 11.21 , 11.37 , 11.92 , 9.99 
,,,,,,,,,,
Return on Equity,5%,6%,7%,7%,7%,7%,12%,19%,10%,12%
Return on Capital Emp,,12%,11%,10%,10%,11%,12%,20%,15%,17%
,,,,,,,,,,
