INTERNATIONAL PAPER APPM LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Dec-11,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 627.94 , 649.29 , 781.82 , 595.22 ," 1,230.50 "," 1,091.65 "," 1,163.25 "," 1,123.58 "," 1,172.36 "," 1,264.00 "," 1,427.33 "," 1,427.33 "," 1,271.69 "
Expenses, 512.81 , 504.99 , 634.69 , 528.04 ," 1,115.20 "," 1,030.19 "," 1,066.64 ", 960.20 ," 1,002.55 "," 1,038.37 "," 1,048.75 "," 1,048.75 "," 1,122.00 "
Operating Profit, 115.13 , 144.30 , 147.13 , 67.18 , 115.30 , 61.46 , 96.61 , 163.38 , 169.81 , 225.63 , 378.58 , 378.58 , 149.69 
Other Income, 10.23 , 8.73 , 16.80 , 6.37 , 7.26 , 12.51 , 10.70 , 6.46 , (21.95), (7.28), 9.16 , -   , -   
Depreciation, 54.11 , 55.82 , 66.97 , 50.62 , 87.94 , 87.01 , 69.00 , 73.18 , 70.03 , 65.81 , 67.87 , 67.87 , 67.87 
Interest, 49.37 , 32.16 , 39.89 , 36.10 , 55.36 , 43.39 , 44.60 , 40.30 , 33.59 , 26.09 , 8.54 , 8.54 , 8.54 
Profit before tax, 21.88 , 65.05 , 57.07 , (13.17), (20.73), (56.42), (6.31), 56.36 , 44.23 , 126.46 , 311.33 , 302.17 , 73.28 
Tax, 2.93 , 10.86 , 12.13 , 84.64 , 2.98 , (14.81), (6.56), 19.47 , 11.83 , 43.39 , 111.27 ,36%,36%
Net profit, 18.95 , 54.19 , 44.94 , (97.81), (23.70), (41.61), 0.25 , 36.89 , 32.40 , 83.07 , 200.08 , 194.17 , 47.09 
EPS, 7.36 , 16.55 , 11.30 , (24.59), (5.96), (10.46), 0.06 , 9.28 , 8.15 , 20.89 , 50.31 , 48.82 , 11.84 
Price to earning, 5.55 , 5.34 , 32.28 , (5.76), (32.63), (22.84)," 4,896.69 ", 32.17 , 43.15 , 14.97 , 8.55 , 24.71 , 8.55 
Price, 40.87 , 88.32 , 364.72 , 141.58 , 194.42 , 238.96 , 307.81 , 298.40 , 351.54 , 312.76 , 430.25 ," 1,206.52 ", 101.26 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,6.81%,6.03%,8.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,18.33%,22.22%,18.82%,11.29%,9.37%,5.63%,8.31%,14.54%,14.48%,17.85%,26.52%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.08%,7.10%,0.54%,2.81%,12.92%,12.92%,0.54%
,,,,,,OPM,13.46%,11.77%,12.33%,15.70%,26.52%,26.52%,11.77%
,,,,,,Price to Earning, 629.84 , 999.11 , 999.11 , 24.71 , 8.55 , 24.71 , 8.55 
