CHOLAMANDALAM FINANCIAL HOLDINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 36.95 , 36.95 , 37.13 , 37.26 , 37.33 , 37.38 , 37.43 , 37.47 , 18.75 , 18.75 
Reserves, 700.00 , 779.95 , 954.27 ," 1,077.70 "," 1,144.01 "," 1,201.46 "," 1,283.10 "," 1,901.81 ", 949.95 , 998.63 
Borrowings, 399.76 , 705.82 , 723.80 , 832.41 ," 1,301.88 "," 1,363.14 "," 1,420.74 "," 1,373.82 ", -   , -   
Other Liabilities, 451.30 , 543.73 , 670.35 , 712.13 , 666.50 , 785.01 , 843.81 , 888.04 , 2.47 , 3.00 
Total," 1,588.01 "," 2,066.45 "," 2,385.55 "," 2,659.50 "," 3,149.72 "," 3,386.99 "," 3,585.08 "," 4,201.14 ", 971.17 ," 1,020.38 "
,,,,,,,,,,
Net Block, 514.15 , 527.63 , 560.84 , 606.51 , 631.61 , 694.28 , 904.25 , 831.60 , -   , -   
Capital Work in Progress, 29.68 , 42.93 , 27.39 , 38.42 , 159.73 , 197.06 , 36.39 , 56.06 , -   , -   
Investments, 454.35 , 749.44 , 910.55 , 930.15 ," 1,444.03 "," 1,505.71 "," 1,523.19 "," 1,461.29 ", 913.70 , 937.75 
Other Assets, 589.83 , 746.45 , 886.77 ," 1,084.42 ", 914.35 , 989.94 ," 1,121.25 "," 1,852.19 ", 57.47 , 82.63 
Total," 1,588.01 "," 2,066.45 "," 2,385.55 "," 2,659.50 "," 3,149.72 "," 3,386.99 "," 3,585.08 "," 4,201.14 ", 971.17 ," 1,020.38 "
,,,,,,,,,,
Working Capital, 138.53 , 202.72 , 216.42 , 372.29 , 247.85 , 204.93 , 277.44 , 964.15 , 55.00 , 79.63 
Debtors, 243.97 , 325.78 , 373.37 , 435.85 , 394.40 , 445.94 , 477.94 , 490.85 , -   , -   
Inventory, 233.81 , 294.39 , 387.69 , 410.00 , 356.77 , 370.21 , 468.23 , 458.31 , -   , -   
,,,,,,,,,,
Debtor Days, 43.60 , 51.21 , 46.19 , 45.63 , 40.26 , 45.99 , 45.47 , 37.57 , -   , -   
Inventory Turnover, 8.73 , 7.89 , 7.61 , 8.50 , 10.02 , 9.56 , 8.19 , 10.41 , -   , -   
,,,,,,,,,,
Return on Equity,10%,10%,17%,16%,9%,8%,9%,38%,4%,6%
Return on Capital Emp,,12%,19%,18%,11%,10%,11%,35%,2%,6%
,,,,,,,,,,
