BODAL CHEMICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 394.36 , 466.65 , 571.32 , 603.34 , 523.83 , 959.50 ," 1,043.13 ", 907.49 ," 1,182.22 "," 1,121.00 "," 1,379.37 "," 1,379.37 "," 1,154.50 "
Expenses, 411.05 , 444.84 , 510.80 , 598.72 , 502.96 , 770.38 , 858.85 , 757.55 , 961.61 , 924.40 ," 1,146.37 "," 1,135.71 ", 998.79 
Operating Profit, (16.69), 21.81 , 60.52 , 4.62 , 20.87 , 189.12 , 184.28 , 149.94 , 220.61 , 196.60 , 233.00 , 243.66 , 155.71 
Other Income, 9.62 , 19.06 , 1.05 , 6.53 , 3.88 , (70.14), 4.72 , 19.91 , 15.31 , 11.88 , 14.68 , -   , -   
Depreciation, 8.33 , 12.13 , 13.80 , 16.00 , 16.43 , 25.25 , 22.25 , 25.78 , 25.85 , 10.93 , 18.27 , 18.27 , 18.27 
Interest, 13.03 , 20.19 , 22.63 , 33.81 , 39.19 , 46.64 , 27.28 , 12.20 , 6.63 , 4.92 , 6.93 , 6.93 , 6.93 
Profit before tax, (17.00), 20.40 , 25.14 , (38.66), (30.86), 47.09 , 139.46 , 131.86 , 203.42 , 192.62 , 222.48 , 218.46 , 130.51 
Tax, (5.86), 6.94 , 8.38 , (10.34), (9.74), 16.43 , 47.44 , 45.26 , 70.48 , 65.08 , 78.40 ,35%,35%
Net profit, (11.14), 13.46 , 16.76 , (28.32), (21.12), 30.65 , 92.02 , 86.60 , 132.93 , 127.54 , 144.07 , 141.47 , 84.52 
EPS, (1.12), 1.35 , 1.68 , (2.60), (1.94), 2.81 , 8.43 , 7.94 , 12.18 , 10.44 , 11.78 , 11.56 , 6.91 
Price to earning, (3.74), 15.78 , 16.97 , (4.12), (3.02), 8.94 , 4.19 , 10.59 , 12.94 , 12.40 , 10.16 , 11.52 , 9.87 
Price, 4.19 , 21.35 , 28.59 , 10.70 , 5.84 , 25.11 , 35.33 , 84.07 , 157.64 , 129.38 , 119.60 , 133.23 , 68.18 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,39.90%,32.04%,0.00%,0.00%,0.00%,0.00%,7.56%,6.57%,7.67%,,,
OPM,0.00%,4.67%,10.59%,0.77%,3.98%,19.71%,17.67%,16.52%,18.66%,17.54%,16.89%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.31%,10.11%,16.43%,2.43%,23.05%,23.05%,2.43%
,,,,,,OPM,13.49%,15.24%,18.04%,17.66%,16.89%,17.66%,13.49%
,,,,,,Price to Earning, 11.50 , 9.87 , 9.87 , 11.52 , 10.16 , 11.52 , 9.87 
