GAMMON INFRASTRUCTURE PROJECTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Dec-13,Sep-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, 144.41 , 145.70 , 146.56 , 146.56 , 147.62 , 147.62 , 188.45 , 189.16 , 189.18 , 189.18 
Reserves, 376.34 , 391.47 , 436.34 , 469.38 , 498.26 , 484.54 , 628.85 , 713.35 , 732.08 , 743.40 
Borrowings, -   , -   , 173.62 , 176.49 , 533.50 , 569.55 , 504.49 , 202.15 , 146.71 , 144.99 
Other Liabilities, 13.95 , 13.88 , 21.46 , 34.23 , 145.21 , 400.77 , 334.71 , 596.78 , 577.99 , 452.90 
Total, 534.70 , 551.05 , 777.98 , 826.66 ," 1,324.59 "," 1,602.48 "," 1,656.50 "," 1,701.44 "," 1,645.96 "," 1,530.47 "
,,,,,,,,,,
Net Block, 20.81 , 18.94 , 17.12 , 15.13 , 13.24 , 12.98 , 11.23 , 0.50 , 0.35 , 4.62 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 369.22 , 423.03 , 436.59 , 477.02 , 563.71 , 740.94 , 814.16 ," 1,217.13 "," 1,341.65 "," 1,220.21 "
Other Assets, 144.67 , 109.08 , 324.27 , 334.51 , 747.64 , 848.56 , 831.11 , 483.81 , 303.96 , 305.64 
Total, 534.70 , 551.05 , 777.98 , 826.66 ," 1,324.59 "," 1,602.48 "," 1,656.50 "," 1,701.44 "," 1,645.96 "," 1,530.47 "
,,,,,,,,,,
Working Capital, 130.72 , 95.20 , 302.81 , 300.28 , 602.43 , 447.79 , 496.40 , (112.97), (274.03), (147.26)
Debtors, 12.06 , 11.75 , 20.13 , 16.63 , 28.86 , 18.98 , 1.54 , 6.92 , 23.30 , 1.06 
Inventory, 0.20 , 0.39 , 0.28 , 0.18 , 1.42 , 0.59 , 0.18 , -   , -   , -   
,,,,,,,,,,
Debtor Days, 117.89 , 36.46 , 85.44 , 58.94 , 85.01 , 87.70 , 6.91 , 6.26 , 44.80 , 2.57 
Inventory Turnover, 186.70 , 301.59 , 307.14 , 572.17 , 87.26 , 133.88 , 452.00 , -   , -   , -   
,,,,,,,,,,
Return on Equity,3%,3%,6%,5%,5%,-2%,-8%,3%,2%,1%
Return on Capital Emp,,4%,9%,8%,10%,3%,-1%,9%,4%,3%
,,,,,,,,,,
