ALPS INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 34.51 , 34.51 , 39.11 , 39.11 , 39.11 , 39.11 , 39.11 , 39.11 , 39.11 , 39.11 
Reserves, 21.40 , (70.29), (166.34), (443.84), (559.14), (676.50), (707.23), (687.01), (298.99), (414.46)
Borrowings, 985.16 ," 1,160.08 "," 1,207.15 "," 1,102.01 "," 1,079.87 "," 1,095.27 "," 1,080.44 ", 840.55 , 551.24 , 592.85 
Other Liabilities, 134.34 , 97.41 , 237.56 , 396.88 , 532.11 , 634.97 , 621.10 , 463.78 , 226.35 , 204.74 
Total," 1,175.41 "," 1,221.71 "," 1,317.48 "," 1,094.16 "," 1,091.95 "," 1,092.85 "," 1,033.42 ", 656.43 , 517.71 , 422.24 
,,,,,,,,,,
Net Block, 561.36 , 663.16 , 621.80 , 582.72 , 537.80 , 499.32 , 458.30 , 423.51 , 354.72 , 320.82 
Capital Work in Progress, 130.99 , 15.44 , 7.52 , 5.74 , 2.01 , 2.07 , 2.25 , 2.26 , 7.10 , 0.01 
Investments, 13.04 , 15.49 , 9.83 , 9.84 , 9.84 , 9.84 , 9.84 , 9.84 , 10.10 , 7.27 
Other Assets, 470.02 , 527.62 , 678.33 , 495.86 , 542.30 , 581.62 , 563.03 , 220.82 , 145.79 , 94.14 
Total," 1,175.41 "," 1,221.71 "," 1,317.48 "," 1,094.16 "," 1,091.95 "," 1,092.85 "," 1,033.42 ", 656.43 , 517.71 , 422.24 
,,,,,,,,,,
Working Capital, 335.68 , 430.21 , 440.77 , 98.98 , 10.19 , (53.35), (58.07), (242.96), (80.56), (110.60)
Debtors, 194.94 , 129.25 , 128.42 , 133.42 , 110.54 , 115.58 , 93.20 , 82.57 , 40.49 , 30.22 
Inventory, 202.28 , 307.78 , 468.11 , 302.73 , 355.58 , 377.56 , 384.55 , 111.16 , 69.79 , 33.13 
,,,,,,,,,,
Debtor Days, 71.76 , 100.65 , 67.63 , 72.86 , 57.65 , 52.44 , 52.97 , 51.84 , 29.52 , 30.35 
Inventory Turnover, 4.90 , 1.52 , 1.48 , 2.21 , 1.97 , 2.13 , 1.67 , 5.23 , 7.17 , 10.97 
,,,,,,,,,,
Return on Equity,-440%,,,,,,,,,
Return on Capital Emp,,-5%,-3%,-20%,-2%,0%,-6%,7%,-22%,-24%
,,,,,,,,,,
