ARIHANT FOUNDATIONS & HOUSING LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Dec-14,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 217.45 , 149.75 , 139.79 , 117.89 , 133.53 , 63.70 , 66.08 , 71.80 , 54.74 , 39.31 , 66.49 , 66.49 , 24.88 
Expenses, 178.34 , 149.66 , 132.04 , 122.89 , 129.55 , 56.15 , 58.29 , 75.81 , 55.71 , 43.22 , 76.30 , 66.49 , 24.88 
Operating Profit, 39.11 , 0.09 , 7.75 , (5.00), 3.98 , 7.55 , 7.79 , (4.01), (0.97), (3.91), (9.81), -   , -   
Other Income, 2.33 , 10.33 , 5.08 , 16.72 , 7.60 , 3.52 , 7.33 , 11.85 , 17.86 , 19.74 , 27.57 , -   , -   
Depreciation, 0.56 , 0.59 , 0.57 , 0.54 , 0.56 , 0.60 , 0.76 , 1.62 , 0.86 , 0.68 , 0.51 , 0.51 , 0.51 
Interest, 7.00 , 6.48 , 9.10 , 7.79 , 8.26 , 8.19 , 12.78 , 14.15 , 13.56 , 12.80 , 15.05 , 15.05 , 15.05 
Profit before tax, 33.88 , 3.35 , 3.16 , 3.39 , 2.76 , 2.27 , 1.58 , (7.93), 2.48 , 2.34 , 2.20 , (15.56), (15.56)
Tax, 4.62 , 0.57 , 1.06 , 0.87 , 0.62 , 0.60 , 0.29 , (2.71), 1.02 , 1.91 , 0.35 ,16%,16%
Net profit, 29.26 , 2.78 , 2.10 , 2.52 , 2.13 , 1.67 , 1.29 , (5.22), 1.45 , 0.43 , 1.85 , (13.08), (13.08)
EPS, 41.50 , 3.94 , 2.81 , 2.93 , 2.48 , 1.94 , 1.50 , (6.07), 1.69 , 0.50 , 2.15 , (15.21), (15.21)
Price to earning, 1.58 , 41.92 , 43.25 , 22.20 , 19.78 , 27.45 , 38.45 , (6.93), 32.43 , 88.39 , 12.46 , 44.43 , 12.46 
Price, 65.47 , 165.32 , 121.43 , 65.04 , 48.99 , 53.30 , 57.68 , 42.04 , 54.68 , 44.19 , 26.80 , (675.86), (189.55)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,2.39%,25.18%,0.00%,34.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,17.99%,0.06%,5.54%,0.00%,2.98%,11.85%,11.79%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-17.31%,-16.58%,-21.70%,-15.90%,69.14%,69.14%,-21.70%
,,,,,,OPM,6.29%,3.53%,5.19%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 32.79 , 34.45 , 39.84 , 44.43 , 12.46 , 44.43 , 12.46 
