LEMON TREE HOTELS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 188.04 , 193.28 , 218.43 , 231.08 , 256.97 , 256.97 , 249.36 
Expenses, -   , -   , -   , -   , -   , -   , 158.41 , 148.20 , 158.58 , 163.04 , 177.62 , 177.62 , 188.55 
Operating Profit, -   , -   , -   , -   , -   , -   , 29.63 , 45.08 , 59.85 , 68.04 , 79.35 , 79.35 , 60.81 
Other Income, -   , -   , -   , -   , -   , -   , 39.39 , 3.38 , 10.50 , 12.29 , 16.32 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 22.76 , 21.84 , 21.20 , 19.77 , 20.12 , 20.12 , 20.12 
Interest, -   , -   , -   , -   , -   , -   , 46.18 , 42.58 , 41.26 , 34.29 , 32.81 , 32.81 , 32.81 
Profit before tax, -   , -   , -   , -   , -   , -   , 0.07 , (15.95), 7.90 , 26.27 , 42.74 , 26.42 , 7.88 
Tax, -   , -   , -   , -   , -   , -   , 1.11 , 0.39 , 1.29 , 4.13 , 7.83 ,18%,18%
Net profit, -   , -   , -   , -   , -   , -   , (1.04), (16.34), 6.61 , 22.14 , 34.92 , 21.58 , 6.43 
EPS, -   , -   , -   , -   , -   , -   , (0.01), (0.21), 0.08 , 0.28 , 0.44 , 0.27 , 0.08 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 258.55 , 170.95 , 214.75 , 170.95 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 72.79 , 75.35 , 58.50 , 13.88 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.76%,23.32%,27.40%,29.44%,30.88%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,7.11%,11.20%,11.20%,7.11%
,,,,,,OPM,24.39%,24.39%,24.39%,26.91%,30.88%,30.88%,24.39%
,,,,,,Price to Earning, 214.75 , 214.75 , 214.75 , 214.75 , 170.95 , 214.75 , 170.95 
