HIND SYNTEX LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 62.16 , 73.54 , 105.77 , 114.61 , 148.75 , 24.05 , 38.27 , 40.48 , 40.43 , 42.86 , 33.78 , 45.44 , 35.42 
Expenses, 63.52 , 71.35 , 97.86 , 114.79 , 143.15 , 25.17 , 38.25 , 40.04 , 40.40 , 46.07 , 40.89 , 45.26 , 35.42 
Operating Profit, (1.36), 2.19 , 7.91 , (0.18), 5.60 , (1.12), 0.02 , 0.44 , 0.03 , (3.21), (7.11), 0.17 , -   
Other Income, 0.27 , 0.74 , 0.73 , 0.97 , 20.76 , 0.58 , 0.63 , 0.35 , 0.06 , 1.10 , 0.74 , -   , -   
Depreciation, 4.55 , 3.80 , 3.71 , 3.63 , 4.71 , 1.15 , 0.57 , 0.63 , 0.68 , 0.68 , 0.65 , 0.65 , 0.65 
Interest, 6.04 , 6.70 , 7.20 , 7.67 , 3.76 , 0.08 , -   , -   , 0.01 , 0.01 , -   , -   , -   
Profit before tax, (11.68), (7.57), (2.27), (10.51), 17.89 , (1.78), 0.20 , 0.16 , (0.59), (2.80), (7.02), (0.48), (0.65)
Tax, (2.32), (0.22), -   , 0.07 , (0.14), -   , -   , 0.01 , -   , -   , -   ,0%,0%
Net profit, (9.36), (7.35), (2.27), (10.58), 18.03 , (1.78), 0.19 , 0.14 , (0.60), (2.79), (7.04), (0.48), (0.65)
EPS, (8.60), (6.75), (1.78), (8.32), 14.18 , (1.40), 0.15 , 0.11 , (0.47), (2.19), (5.54), (0.38), (0.51)
Price to earning, (0.23), (0.54), (2.15), (0.27), 0.37 , (6.22), 65.62 , 177.66 , (24.06), (3.14), -   , 177.66 , -   
Price, 1.97 , 3.63 , 3.83 , 2.28 , 5.24 , 8.70 , 9.80 , 19.56 , 11.35 , 6.88 , 3.80 , (66.74), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,2.98%,7.48%,0.00%,3.76%,0.00%,0.05%,1.09%,0.07%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-4.05%,-12.11%,-22.03%,3.85%,6.01%,6.01%,-22.03%
,,,,,,OPM,2.34%,1.35%,0.26%,0.38%,0.00%,0.38%,0.00%
,,,,,,Price to Earning, 81.22 , 81.22 , 121.64 , 177.66 , -   , 177.66 , -   
