ASHIANA HOUSING LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 82.71 , 105.38 , 131.60 , 201.13 , 119.18 , 76.51 , 120.20 , 505.90 , 355.94 , 288.98 , 301.81 , 387.13 , 302.38 
Expenses, 63.14 , 65.91 , 89.99 , 134.93 , 88.10 , 62.61 , 83.53 , 364.97 , 264.35 , 233.74 , 262.87 , 290.33 , 263.37 
Operating Profit, 19.57 , 39.47 , 41.61 , 66.20 , 31.08 , 13.90 , 36.67 , 140.93 , 91.59 , 55.24 , 38.94 , 96.80 , 39.01 
Other Income, 10.71 , 5.63 , 23.05 , 22.03 , 11.95 , 12.13 , 20.26 , 14.30 , 14.38 , 11.85 , 10.47 , -   , -   
Depreciation, 1.01 , 1.02 , 2.01 , 2.38 , 2.56 , 3.03 , 7.85 , 7.87 , 7.83 , 7.25 , 8.14 , 8.14 , 8.14 
Interest, 0.12 , 1.05 , 0.65 , 2.84 , 3.03 , 1.83 , 1.72 , 2.69 , 6.64 , 11.45 , 14.81 , 14.81 , 14.81 
Profit before tax, 29.15 , 43.03 , 62.00 , 83.01 , 37.44 , 21.16 , 47.36 , 144.67 , 91.50 , 48.39 , 26.46 , 73.85 , 16.06 
Tax, 3.17 , 7.62 , 13.05 , 14.36 , 5.35 , (0.29), 1.69 , 36.67 , 24.42 , 9.64 , 8.82 ,33%,33%
Net profit, 25.98 , 35.41 , 48.95 , 68.65 , 32.10 , 21.45 , 45.67 , 108.00 , 67.08 , 38.75 , 17.64 , 49.23 , 10.71 
EPS, 2.77 , 3.78 , 5.26 , 7.38 , 3.45 , 2.31 , 4.46 , 10.55 , 6.55 , 3.79 , 1.72 , 4.81 , 1.05 
Price to earning, 2.76 , 6.39 , 5.02 , 4.63 , 14.39 , 42.13 , 53.43 , 13.87 , 35.20 , 43.13 , 65.28 , 65.28 , 26.02 
Price, 7.65 , 24.15 , 26.43 , 34.18 , 49.63 , 97.11 , 238.39 , 146.31 , 230.71 , 163.28 , 112.50 , 313.99 , 27.22 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,7.94%,6.66%,6.10%,13.05%,21.68%,11.21%,4.74%,3.82%,6.61%,,,
OPM,23.66%,37.45%,31.62%,32.91%,26.08%,18.17%,30.51%,27.86%,25.73%,19.12%,12.90%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.91%,11.89%,19.38%,33.96%,4.44%,33.96%,4.44%
,,,,,,OPM,26.98%,26.12%,25.11%,25.00%,12.90%,25.00%,12.90%
,,,,,,Price to Earning, 26.02 , 34.01 , 42.17 , 39.37 , 65.28 , 65.28 , 26.02 
