LYKA LABS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-08,Sep-09,Sep-10,Mar-12,Mar-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 20.93 , 21.58 , 21.58 , 21.58 , 21.58 , 21.58 , 21.58 , 22.04 , 22.04 , 28.14 
Reserves, 54.67 , 50.36 , 76.77 , 51.55 , 45.40 , 40.08 , 38.18 , 43.38 , 51.57 , 67.89 
Borrowings, 56.66 , 65.21 , 78.88 , 106.30 , 128.23 , 138.65 , 107.74 , 104.62 , 112.10 , 101.65 
Other Liabilities, 51.99 , 58.43 , 61.32 , 59.75 , 52.23 , 62.21 , 65.62 , 57.99 , 57.20 , 47.90 
Total, 184.25 , 195.58 , 238.55 , 239.18 , 247.44 , 262.52 , 233.12 , 228.03 , 242.91 , 245.58 
,,,,,,,,,,
Net Block, 56.76 , 67.07 , 115.54 , 83.77 , 95.46 , 93.83 , 61.67 , 60.26 , 86.27 , 81.16 
Capital Work in Progress, 11.06 , 5.11 , 8.30 , 18.83 , 15.38 , 21.78 , 27.03 , 30.17 , 24.23 , 26.43 
Investments, 16.51 , 20.23 , 20.23 , 20.22 , 20.22 , 62.53 , 62.57 , 62.57 , 62.45 , 62.45 
Other Assets, 99.92 , 103.17 , 94.48 , 116.36 , 116.38 , 84.38 , 81.85 , 75.03 , 69.96 , 75.54 
Total, 184.25 , 195.58 , 238.55 , 239.18 , 247.44 , 262.52 , 233.12 , 228.03 , 242.91 , 245.58 
,,,,,,,,,,
Working Capital, 47.93 , 44.74 , 33.16 , 56.61 , 64.15 , 22.17 , 16.23 , 17.04 , 12.76 , 27.64 
Debtors, 39.44 , 45.52 , 51.10 , 49.50 , 59.32 , 25.36 , 28.83 , 26.45 , 24.22 , 30.14 
Inventory, 15.71 , 11.60 , 13.14 , 14.97 , 14.56 , 8.60 , 12.56 , 6.96 , 9.25 , 7.30 
,,,,,,,,,,
Debtor Days, 154.28 , 109.26 , 157.13 , 129.23 , 229.07 , 106.92 , 116.29 , 168.57 , 113.32 , 263.94 
Inventory Turnover, 5.94 , 13.11 , 9.03 , 9.34 , 6.49 , 10.07 , 7.20 , 8.23 , 8.43 , 5.71 
,,,,,,,,,,
Return on Equity,4%,-9%,2%,-8%,-4%,-12%,2%,7%,0%,-11%
Return on Capital Emp,,9%,8%,9%,7%,8%,11%,10%,9%,-2%
,,,,,,,,,,
