DHUNSERI TEA & INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.05 , 7.01 , 7.01 , 7.01 , 7.01 
Reserves, -   , -   , -   , -   , -   , -   , 432.16 , 443.90 , 595.32 , 605.22 
Borrowings, -   , -   , -   , -   , -   , -   , 35.37 , 17.96 , 37.29 , 37.86 
Other Liabilities, -   , -   , -   , -   , -   , -   , 37.42 , 44.30 , 69.83 , 64.85 
Total, -   , -   , -   , -   , -   , 0.05 , 511.96 , 513.17 , 709.45 , 714.94 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 351.29 , 344.52 , 512.38 , 512.17 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 0.04 , -   , 6.39 , 8.63 
Investments, -   , -   , -   , -   , -   , -   , 85.63 , 90.54 , 103.55 , 109.01 
Other Assets, -   , -   , -   , -   , -   , 0.05 , 75.00 , 78.11 , 87.13 , 85.13 
Total, -   , -   , -   , -   , -   , 0.05 , 511.96 , 513.17 , 709.45 , 714.94 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 0.05 , 37.58 , 33.81 , 17.30 , 20.28 
Debtors, -   , -   , -   , -   , -   , -   , 24.26 , 29.97 , 34.96 , 38.96 
Inventory, -   , -   , -   , -   , -   , -   , 16.84 , 23.33 , 19.08 , 18.80 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 53.92 , 59.75 , 67.97 , 80.33 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 9.75 , 7.85 , 9.84 , 9.42 
,,,,,,,,,,
Return on Equity,,,,,,0%,4%,5%,2%,1%
Return on Capital Emp,,,,,,40%,10%,6%,3%,2%
,,,,,,,,,,
