HBL POWER SYSTEMS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 24.28 , 25.30 , 25.30 , 25.30 , 25.30 , 25.30 , 25.30 , 25.30 , 27.72 , 27.72 
Reserves, 360.79 , 486.03 , 499.54 , 504.73 , 520.77 , 559.86 , 562.33 , 598.75 , 711.68 , 732.90 
Borrowings, 367.57 , 426.97 , 610.93 , 774.88 , 815.06 , 731.04 , 683.37 , 545.79 , 476.50 , 364.68 
Other Liabilities, 192.65 , 186.93 , 326.04 , 269.74 , 319.22 , 451.95 , 310.10 , 278.16 , 262.33 , 221.23 
Total, 945.29 ," 1,125.23 "," 1,461.81 "," 1,574.65 "," 1,680.35 "," 1,768.15 "," 1,581.10 "," 1,448.00 "," 1,478.23 "," 1,346.53 "
,,,,,,,,,,
Net Block, 288.15 , 342.98 , 415.10 , 509.77 , 486.24 , 474.13 , 443.98 , 414.60 , 416.41 , 363.11 
Capital Work in Progress, 66.37 , 78.82 , 84.45 , 55.38 , 67.85 , 56.13 , 49.38 , 48.07 , 33.36 , 26.01 
Investments, 3.36 , 20.61 , 141.22 , 151.25 , 149.53 , 29.44 , 22.75 , 14.65 , 8.43 , 3.44 
Other Assets, 587.41 , 682.82 , 821.04 , 858.25 , 976.73 ," 1,208.45 "," 1,064.99 ", 970.68 ," 1,020.03 ", 953.97 
Total, 945.29 ," 1,125.23 "," 1,461.81 "," 1,574.65 "," 1,680.35 "," 1,768.15 "," 1,581.10 "," 1,448.00 "," 1,478.23 "," 1,346.53 "
,,,,,,,,,,
Working Capital, 394.76 , 495.89 , 495.00 , 588.51 , 657.51 , 756.50 , 754.89 , 692.52 , 757.70 , 732.74 
Debtors, 282.64 , 337.67 , 310.08 , 380.87 , 431.38 , 458.08 , 408.77 , 441.76 , 488.67 , 466.51 
Inventory, 179.98 , 228.31 , 268.17 , 287.75 , 433.03 , 597.57 , 509.26 , 392.66 , 404.36 , 364.11 
,,,,,,,,,,
Debtor Days, 83.08 , 111.36 , 113.97 , 127.82 , 131.63 , 130.95 , 112.26 , 125.15 , 126.75 , 106.90 
Inventory Turnover, 6.90 , 4.85 , 3.70 , 3.78 , 2.76 , 2.14 , 2.61 , 3.28 , 3.48 , 4.37 
,,,,,,,,,,
Return on Equity,24%,20%,3%,2%,4%,8%,2%,1%,5%,4%
Return on Capital Emp,,22%,5%,9%,9%,10%,7%,7%,8%,8%
,,,,,,,,,,
