CAMBRIDGE TECHNOLOGY ENTERPRISES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 15.82 , 15.82 , 19.63 , 19.63 , 19.63 , 19.63 , 19.63 , 19.63 , 19.63 , 19.63 
Reserves, 35.22 , 35.32 , 42.49 , 42.65 , (6.01), (4.22), 7.51 , 13.09 , 8.62 , 12.11 
Borrowings, 16.45 , 10.95 , 4.98 , 3.04 , -   , -   , -   , -   , 1.70 , 3.33 
Other Liabilities, 29.99 , 20.38 , 17.53 , 9.26 , 15.51 , 15.82 , 5.10 , (0.48), 8.50 , 8.68 
Total, 97.48 , 82.47 , 84.63 , 74.58 , 29.13 , 31.23 , 32.24 , 32.24 , 38.45 , 43.75 
,,,,,,,,,,
Net Block, 7.09 , 13.67 , 11.78 , 1.07 , 0.83 , 0.72 , 10.70 , 8.36 , 1.12 , 0.55 
Capital Work in Progress, 15.67 , 4.13 , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 46.36 , 45.73 , 46.01 , 40.97 , 13.55 , 13.55 , 5.99 , 13.74 , 21.98 , 21.83 
Other Assets, 28.36 , 18.94 , 26.84 , 32.54 , 14.75 , 16.96 , 15.55 , 10.14 , 15.35 , 21.37 
Total, 97.48 , 82.47 , 84.63 , 74.58 , 29.13 , 31.23 , 32.24 , 32.24 , 38.45 , 43.75 
,,,,,,,,,,
Working Capital, (1.63), (1.44), 9.31 , 23.28 , (0.76), 1.14 , 10.45 , 10.62 , 6.85 , 12.69 
Debtors, 22.67 , 16.03 , 21.43 , 24.20 , 7.24 , 10.13 , 5.74 , 2.53 , 1.66 , 8.10 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 172.21 , 178.49 , 238.77 , 286.88 , 121.22 , 182.86 , 80.89 , 31.36 , 15.67 , 46.89 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,9%,0%,3%,0%,-357%,12%,5%,17%,16%,11%
Return on Capital Emp,,4%,5%,0%,-122%,18%,5%,11%,24%,15%
,,,,,,,,,,
