INEOS STYROLUTION INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 592.78 , 537.25 , 727.77 , 817.18 , 970.70 ," 1,092.45 "," 1,432.08 "," 1,583.90 "," 1,482.34 "," 1,895.34 "," 2,090.53 "," 2,423.41 "," 2,100.06 "
Expenses, 555.63 , 450.99 , 614.75 , 734.80 , 871.16 ," 1,009.27 "," 1,348.91 "," 1,487.88 "," 1,347.17 "," 1,757.92 "," 2,080.93 "," 2,243.37 "," 2,090.41 "
Operating Profit, 37.15 , 86.26 , 113.02 , 82.38 , 99.54 , 83.18 , 83.17 , 96.02 , 135.17 , 137.42 , 9.60 , 180.04 , 9.64 
Other Income, 6.51 , 4.45 , 5.45 , 10.66 , 10.73 , 10.77 , 4.70 , 2.74 , 4.07 , 4.76 , 11.52 , -   , -   
Depreciation, 14.65 , 14.49 , 13.98 , 13.94 , 13.61 , 13.40 , 21.32 , 27.21 , 25.27 , 25.36 , 26.92 , 26.92 , 26.92 
Interest, 1.92 , 1.29 , 1.80 , 1.61 , 3.55 , 3.14 , 14.81 , 11.31 , 13.67 , 13.68 , 12.69 , 12.69 , 12.69 
Profit before tax, 27.09 , 74.93 , 102.69 , 77.49 , 93.10 , 77.42 , 51.73 , 60.24 , 100.30 , 103.13 , (18.49), 140.43 , (29.97)
Tax, 9.14 , 25.94 , 32.66 , 23.52 , 29.97 , 26.92 , 16.71 , (3.58), 31.01 , 36.90 , (6.03),0%,0%
Net profit, 17.95 , 48.99 , 70.03 , 53.97 , 63.13 , 50.50 , 35.02 , 63.83 , 69.28 , 66.23 , (12.47), 140.43 , (29.97)
EPS, 10.21 , 27.86 , 39.82 , 30.69 , 35.90 , 28.72 , 19.91 , 36.30 , 39.40 , 37.66 , (7.09), 79.84 , (17.04)
Price to earning, 8.67 , 6.85 , 9.93 , 19.44 , 19.94 , 14.28 , 33.38 , 16.53 , 18.71 , 24.08 , -   , 19.77 , -   
Price, 88.52 , 190.70 , 395.29 , 596.47 , 715.89 , 410.19 , 664.64 , 599.98 , 737.16 , 906.77 , 495.15 ," 1,578.59 ", -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,24.51%,12.57%,10.05%,13.04%,11.15%,13.94%,20.10%,11.03%,10.16%,10.63%,,,
OPM,6.27%,16.06%,15.53%,10.08%,10.25%,7.61%,5.81%,6.06%,9.12%,7.25%,0.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.79%,14.65%,14.32%,9.79%,27.86%,27.86%,9.79%
,,,,,,OPM,8.56%,7.73%,7.15%,7.43%,0.46%,7.43%,0.46%
,,,,,,Price to Earning, 17.18 , 20.91 , 21.40 , 19.77 , -   , 19.77 , -   
