HIMACHAL FUTURISTIC COMMUNICATIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Sep-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 442.79 , 46.28 , 99.24 , 123.94 , 123.94 , 123.94 , 123.94 , 123.94 , 123.94 , 123.94 
Reserves, (385.52), 30.11 , 222.00 , 451.76 , 506.56 , 634.16 , 808.44 , 793.99 , 919.58 ," 1,074.05 "
Borrowings," 1,235.25 "," 1,055.38 ", 382.10 , 328.87 , 288.62 , 284.23 , 289.64 , 524.87 , 493.98 , 423.89 
Other Liabilities, 332.49 , 978.87 ," 1,048.50 ", 817.12 , 307.79 , 596.52 , 600.51 , 702.91 , 689.42 , 943.46 
Total," 1,625.01 "," 2,110.64 "," 1,751.84 "," 1,721.69 "," 1,226.91 "," 1,638.85 "," 1,822.53 "," 2,145.71 "," 2,226.92 "," 2,565.34 "
,,,,,,,,,,
Net Block, 211.80 , 178.89 , 88.81 , 87.21 , 105.31 , 153.10 , 121.53 , 106.08 , 110.91 , 110.47 
Capital Work in Progress, 9.73 , 10.50 , 14.47 , 19.78 , 21.74 , 0.54 , 0.45 , 0.66 , 1.39 , 9.53 
Investments, 719.67 ," 1,064.61 "," 1,034.32 ", 970.01 , 363.76 , 364.76 , 296.02 , 50.96 , 64.83 , 66.18 
Other Assets, 683.81 , 856.64 , 614.24 , 644.69 , 736.10 ," 1,120.45 "," 1,404.53 "," 1,988.01 "," 2,049.79 "," 2,379.16 "
Total," 1,625.01 "," 2,110.64 "," 1,751.84 "," 1,721.69 "," 1,226.91 "," 1,638.85 "," 1,822.53 "," 2,145.71 "," 2,226.92 "," 2,565.34 "
,,,,,,,,,,
Working Capital, 351.32 , (122.23), (434.26), (172.43), 428.31 , 523.93 , 804.02 ," 1,285.10 "," 1,360.37 "," 1,435.70 "
Debtors, 453.51 , 421.91 , 333.00 , 311.29 , 299.84 , 254.51 , 367.42 ," 1,118.65 "," 1,147.16 "," 1,234.13 "
Inventory, 61.08 , 51.18 , 50.91 , 51.55 , 52.53 , 172.16 , 263.14 , 293.63 , 217.59 , 178.69 
,,,,,,,,,,
Debtor Days," 1,190.02 ", 494.48 ," 1,406.61 ", 435.81 , 180.79 , 46.02 , 52.57 , 142.85 , 207.70 , 146.72 
Inventory Turnover, 2.28 , 6.08 , 1.70 , 5.06 , 11.52 , 11.73 , 9.69 , 9.73 , 9.26 , 17.18 
,,,,,,,,,,
Return on Equity,-553%,-671%,13%,2%,9%,19%,20%,16%,12%,13%
Return on Capital Emp,,-36%,7%,6%,9%,18%,21%,16%,12%,17%
,,,,,,,,,,
