KESAR ENTERPRISES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-08,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Dec-14,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 222.11 , 220.16 , 200.84 , 365.64 , 284.56 , 336.60 , 437.05 , 317.93 , 372.97 , 313.10 , 404.47 , 404.47 , 270.54 
Expenses, 207.06 , 189.07 , 179.52 , 340.26 , 271.14 , 304.57 , 478.02 , 300.00 , 308.65 , 299.96 , 382.67 , 366.04 , 255.96 
Operating Profit, 15.05 , 31.09 , 21.32 , 25.38 , 13.42 , 32.03 , (40.97), 17.93 , 64.32 , 13.14 , 21.80 , 38.43 , 14.58 
Other Income, 5.78 , 2.34 , 6.32 , 0.86 , (11.27), 2.30 , 1.68 , 0.94 , 1.43 , 1.49 , 1.91 , -   , -   
Depreciation, 6.61 , 7.39 , 5.80 , 5.83 , 5.58 , 14.62 , 23.55 , 25.83 , 18.98 , 18.19 , 19.13 , 19.13 , 19.13 
Interest, 12.67 , 15.18 , 17.61 , 19.98 , 18.76 , 36.38 , 57.19 , 42.10 , 40.52 , 43.17 , 44.79 , 44.79 , 44.79 
Profit before tax, 1.55 , 10.88 , 4.23 , 0.43 , (22.19), (16.69), (120.02), (49.06), 6.25 , (46.72), (40.21), (25.49), (49.34)
Tax, (2.26), 1.84 , (0.16), (3.19), (2.21), -   , -   , 4.17 , 0.09 , -   , -   ,0%,0%
Net profit, 3.81 , 9.04 , 4.39 , 3.62 , (19.99), (16.68), (120.02), (53.22), 6.16 , (46.72), (40.22), (25.49), (49.34)
EPS, 5.61 , 13.31 , 6.47 , 5.33 , (29.44), (19.35), (120.03), (52.80), 6.11 , (46.35), (39.90), (25.29), (48.95)
Price to earning, 6.48 , 3.18 , 9.46 , 9.37 , (1.55), (1.18), (0.20), (0.76), 9.17 , (0.95), -   , 9.17 , -   
Price, 36.38 , 42.38 , 61.16 , 49.96 , 45.76 , 22.90 , 24.14 , 40.35 , 56.03 , 44.23 , 31.25 , (231.87), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.92%,22.57%,15.49%,18.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,6.78%,14.12%,10.62%,6.94%,4.72%,9.52%,0.00%,5.64%,17.25%,4.20%,5.39%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.89%,6.55%,1.93%,-10.52%,29.18%,29.18%,-10.52%
,,,,,,OPM,7.61%,6.85%,7.17%,9.50%,5.39%,9.50%,5.39%
,,,,,,Price to Earning, 7.53 , 9.27 , 9.17 , 9.17 , -   , 9.17 , -   
