THE ANUP ENGINEERING LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 150.17 , -   , -   
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , 112.11 , -   , -   
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , (0.01), 38.06 , -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.29 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.05 , 4.05 , 4.05 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.20 , 1.20 , 1.20 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , (0.01), 35.10 , (5.25), (5.25)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9.45 ,27%,27%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , (0.01), 25.66 , (3.84), (3.84)
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , (2.00), 25.17 , (3.76), (3.76)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 20.11 , 20.11 , 20.11 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 506.10 , (75.67), (75.67)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.34%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,,,,,25.34%,25.34%,25.34%
,,,,,,Price to Earning, 20.11 , 20.11 , 20.11 , 20.11 , 20.11 , 20.11 , 20.11 
