5PAISA CAPITAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 3.05 , 3.05 , 3.05 , 12.74 , 12.74 
Reserves, -   , -   , -   , -   , -   , 11.05 , 14.58 , 9.08 , 75.50 , 50.20 
Borrowings, -   , -   , -   , -   , -   , -   , 14.83 , 2.31 , -   , 16.15 
Other Liabilities, -   , -   , -   , -   , -   , 1.78 , 2.26 , 30.04 , 20.98 , 52.70 
Total, -   , -   , -   , -   , -   , 15.88 , 34.72 , 44.48 , 109.22 , 131.79 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 0.22 , 0.47 , 2.13 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 0.05 , 0.13 , 0.01 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.05 
Other Assets, -   , -   , -   , -   , -   , 15.88 , 34.72 , 44.21 , 108.62 , 127.60 
Total, -   , -   , -   , -   , -   , 15.88 , 34.72 , 44.48 , 109.22 , 131.79 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 14.10 , 32.46 , 14.17 , 87.64 , 74.90 
Debtors, -   , -   , -   , -   , -   , -   , 2.77 , 23.09 , 0.41 , 0.57 
Inventory, -   , -   , -   , -   , -   , 0.01 , -   , 1.05 , 2.55 , 3.60 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 88.92 , -   , 20.03 , 10.59 
Inventory Turnover, -   , -   , -   , -   , -   , 458.00 , -   , (1.16), 2.93 , 5.46 
,,,,,,,,,,
Return on Equity,,,,,,8%,20%,-45%,-13%,-40%
Return on Capital Emp,,,,,,25%,34%,-23%,-29%,-39%
,,,,,,,,,,
