DE NORA INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, 5.56 , 5.56 , 5.56 , 5.44 , 5.31 , 5.31 , 5.31 , 5.31 , 5.31 , 5.31 
Reserves, 20.49 , 20.63 , 20.44 , 20.59 , 28.37 , 30.63 , 33.96 , 43.35 , 46.62 , 47.07 
Borrowings, -   , 1.29 , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 6.32 , 5.22 , 7.87 , 18.93 , 17.35 , 13.24 , 9.95 , 12.47 , 11.82 , 10.70 
Total, 32.37 , 32.70 , 33.87 , 44.96 , 51.03 , 49.18 , 49.22 , 61.13 , 63.75 , 63.08 
,,,,,,,,,,
Net Block, 6.99 , 6.54 , 5.85 , 5.68 , 6.46 , 7.23 , 6.85 , 7.22 , 7.25 , 13.80 
Capital Work in Progress, 0.01 , -   , 0.01 , 0.67 , 0.88 , 0.88 , 1.25 , 1.90 , 7.35 , -   
Investments, 8.79 , 11.10 , 12.07 , 5.02 , 15.25 , 7.66 , 14.31 , 19.21 , 20.45 , 20.27 
Other Assets, 16.58 , 15.06 , 15.94 , 33.59 , 28.44 , 33.41 , 26.81 , 32.80 , 28.70 , 29.01 
Total, 32.37 , 32.70 , 33.87 , 44.96 , 51.03 , 49.18 , 49.22 , 61.13 , 63.75 , 63.08 
,,,,,,,,,,
Working Capital, 10.26 , 9.84 , 8.07 , 14.66 , 11.09 , 20.17 , 16.86 , 20.33 , 16.88 , 18.31 
Debtors, 4.29 , 3.32 , 5.01 , 10.78 , 9.22 , 12.89 , 11.63 , 10.44 , 5.98 , 4.75 
Inventory, 5.40 , 4.84 , 5.66 , 13.44 , 10.20 , 11.39 , 6.70 , 5.92 , 5.10 , 6.83 
,,,,,,,,,,
Debtor Days, 80.80 , 91.66 , 108.46 , 115.49 , 52.38 , 131.38 , 139.09 , 74.97 , 81.84 , 64.14 
Inventory Turnover, 3.59 , 2.73 , 2.98 , 2.53 , 6.30 , 3.14 , 4.56 , 8.59 , 5.23 , 3.96 
,,,,,,,,,,
Return on Equity,8%,1%,12%,18%,40%,13%,11%,25%,6%,3%
Return on Capital Emp,,5%,13%,28%,65%,21%,16%,41%,9%,6%
,,,,,,,,,,
