ADROIT INFOTECH LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 0.07 , -   , 0.20 , 0.39 , 0.41 , 0.04 , 9.66 , 10.64 , 4.21 , 22.55 , 15.25 , 120.78 , 27.53 
Expenses, 5.43 , 0.07 , 0.01 , 9.38 , 0.49 , 0.09 , 8.38 , 8.31 , 2.77 , 19.40 , 17.34 , 98.44 , 27.53 
Operating Profit, (5.36), (0.07), 0.19 , (8.99), (0.08), (0.05), 1.28 , 2.33 , 1.44 , 3.15 , (2.09), 22.35 , -   
Other Income, 5.35 , 0.01 , -   , (6.51), -   , -   , (0.57), 0.10 , 0.06 , 0.10 , 0.10 , -   , -   
Depreciation, 0.13 , 0.13 , 0.15 , 0.13 , 0.13 , 0.10 , 1.07 , 0.06 , 0.03 , 0.42 , 0.70 , 0.70 , 0.70 
Interest, 0.08 , 0.05 , 0.03 , 0.01 , -   , -   , -   , 0.01 , 0.03 , 0.28 , 0.21 , 0.21 , 0.21 
Profit before tax, (0.22), (0.24), 0.01 , (15.64), (0.22), (0.15), (0.35), 2.36 , 1.44 , 2.54 , (2.90), 21.44 , (0.91)
Tax, 0.04 , -   , -   , -   , 0.05 , -   , 0.21 , (0.01), 0.10 , 0.55 , (0.45),0%,0%
Net profit, (0.26), (0.24), 0.01 , (15.64), (0.27), (0.15), (0.56), 2.37 , 1.35 , 1.99 , (2.43), 21.44 , (0.91)
EPS, (0.13), (0.11), 0.00 , (6.53), (0.15), (0.09), (0.32), 1.36 , 0.75 , 1.09 , (1.33), 11.73 , (0.50)
Price to earning,  ,  ,  , (0.38), (92.95), (80.77), (125.32), 39.35 , 88.13 , 30.09 , -   , 52.53 , -   
Price, -   , -   , -   , 2.48 , 14.37 , 6.94 , 40.18 , 53.39 , 65.85 , 32.78 , 14.10 , 616.36 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,,,
OPM,0.00%,0.00%,95.00%,0.00%,0.00%,0.00%,13.25%,21.90%,34.20%,13.97%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,89.96%,96.41%,122.88%,32.65%,435.63%,435.63%,32.65%
,,,,,,OPM,17.42%,17.12%,17.41%,18.50%,0.00%,18.50%,0.00%
,,,,,,Price to Earning, 52.53 , 52.53 , 52.53 , 52.53 , -   , 52.53 , -   
