DCM FINANCIAL SERVICES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 22.13 , 22.13 , 22.13 , 22.13 , 22.13 , 22.13 , 22.13 , 22.13 , 22.13 , 22.13 
Reserves, (73.00), (71.54), (69.85), (67.90), (64.86), (70.85), (73.67), (71.58), (64.31), (64.39)
Borrowings, 96.69 , 96.69 , 96.64 , 96.59 , 96.59 , 96.56 , 96.54 , 96.58 , 108.20 , 94.18 
Other Liabilities, 30.96 , 32.01 , 17.55 , 18.12 , 32.69 , 38.44 , 38.72 , 39.19 , 9.24 , 7.56 
Total, 76.78 , 79.29 , 66.47 , 68.94 , 86.55 , 86.28 , 83.72 , 86.32 , 75.26 , 59.48 
,,,,,,,,,,
Net Block, 15.55 , 15.38 , 15.02 , 14.75 , 14.35 , 14.00 , 13.48 , 13.18 , 12.85 , 12.54 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 1.12 , 1.12 , 1.12 , 1.12 , 1.12 , 1.04 , 1.04 , 1.04 , 1.46 , 1.52 
Other Assets, 60.11 , 62.79 , 50.33 , 53.07 , 71.08 , 71.24 , 69.20 , 72.10 , 60.95 , 45.42 
Total, 76.78 , 79.29 , 66.47 , 68.94 , 86.55 , 86.28 , 83.72 , 86.32 , 75.26 , 59.48 
,,,,,,,,,,
Working Capital, 29.15 , 30.78 , 32.78 , 34.95 , 38.39 , 32.80 , 30.48 , 32.91 , 51.71 , 37.86 
Debtors, 25.72 , 26.06 , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, 0.14 , 0.14 , 0.08 , 0.04 , 0.04 , 0.04 , 0.04 , 0.01 , -   , -   
,,,,,,,,,,
Debtor Days," 3,516.03 "," 4,595.12 ", -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, 19.07 , 14.79 , 27.75 , 65.50 , 95.25 , 91.00 , 98.50 , 393.00 , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,,,
Return on Capital Emp,,3%,3%,4%,6%,-12%,-6%,6%,6%,4%
,,,,,,,,,,
