HIMACHAL FUTURISTIC COMMUNICATIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Sep-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 139.10 , 311.43 , 86.41 , 260.71 , 605.35 ," 2,018.78 "," 2,551.08 "," 2,858.37 "," 2,015.95 "," 3,070.08 "," 4,368.07 "," 4,675.41 "," 3,348.21 "
Expenses, 308.24 , 395.86 , 284.15 , 228.41 , 532.58 ," 1,830.90 "," 2,256.85 "," 2,577.03 "," 1,835.16 "," 2,806.95 "," 4,048.16 "," 4,248.58 "," 3,103.00 "
Operating Profit, (169.14), (84.43), (197.74), 32.30 , 72.77 , 187.88 , 294.23 , 281.34 , 180.79 , 263.13 , 319.91 , 426.83 , 245.22 
Other Income, (30.41), (307.50), 274.55 , 27.74 , 25.93 , 12.62 , (27.67), (47.57), 18.57 , 17.68 , 66.29 , -   , -   
Depreciation, 25.71 , 39.03 , 11.22 , 15.07 , 16.68 , 19.85 , 33.93 , 24.90 , 15.70 , 16.26 , 17.52 , 17.52 , 17.52 
Interest, 90.99 , 81.48 , 25.35 , 33.50 , 27.18 , 33.14 , 42.70 , 58.42 , 59.94 , 60.91 , 77.94 , 77.94 , 77.94 
Profit before tax, (316.25), (512.44), 40.24 , 11.47 , 54.84 , 147.51 , 189.93 , 150.45 , 123.72 , 203.64 , 290.74 , 331.37 , 149.76 
Tax, 0.42 , 0.16 , 0.02 , 0.05 , 0.04 , 0.03 , 0.02 , -   , -   , 48.61 , 106.71 ,37%,37%
Net profit, (316.67), (512.60), 40.22 , 11.42 , 54.80 , 147.48 , 189.91 , 150.45 , 123.72 , 155.03 , 184.03 , 209.75 , 94.79 
EPS, (0.72), (11.08), 0.41 , 0.09 , 0.44 , 1.19 , 1.53 , 1.21 , 1.00 , 1.25 , 1.43 , 1.63 , 0.74 
Price to earning, (12.95), (1.00), 38.90 , 126.72 , 19.46 , 7.44 , 9.51 , 15.23 , 14.74 , 21.74 , 15.04 , 16.69 , 13.95 
Price, 9.26 , 11.08 , 15.77 , 11.68 , 8.60 , 8.85 , 14.57 , 18.49 , 14.71 , 27.20 , 21.55 , 27.25 , 10.30 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.80%,,,
OPM,0.00%,0.00%,0.00%,12.39%,12.02%,9.31%,11.53%,9.84%,8.97%,8.57%,7.32%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,41.03%,66.54%,38.37%,6.37%,52.29%,52.29%,6.37%
,,,,,,OPM,9.43%,9.81%,9.65%,9.13%,7.32%,9.13%,7.32%
,,,,,,Price to Earning, 29.86 , 28.73 , 13.95 , 16.69 , 15.04 , 16.69 , 13.95 
