INFIBEAM AVENUES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , 2.56 , 10.79 , 29.23 , 43.11 , 53.15 , 305.86 , 462.83 ," 1,760.12 ", 855.35 
Expenses, -   , -   , 20.24 , 0.01 , 2.05 , 10.83 , 35.14 , 45.46 , 47.16 , 248.79 , 398.94 ," 1,484.10 ", 737.28 
Operating Profit, -   , -   , (20.24), (0.01), 0.51 , (0.04), (5.91), (2.35), 5.99 , 57.07 , 63.89 , 276.02 , 118.07 
Other Income, -   , -   , -   , 0.02 , 0.04 , 0.02 , 0.40 , 18.15 , 36.12 , 26.95 , 6.03 , -   , -   
Depreciation, -   , -   , -   , -   , 0.86 , 1.18 , 2.55 , 4.24 , 6.33 , 43.26 , 45.59 , 45.59 , 45.59 
Interest, -   , -   , -   , 0.01 , 0.73 , 0.01 , 0.14 , 0.22 , 3.36 , 4.26 , 4.62 , 4.62 , 4.62 
Profit before tax, -   , -   , (20.24), -   , (1.03), (1.21), (8.21), 22.39 , 46.11 , 39.83 , 19.71 , 225.81 , 67.86 
Tax, -   , -   , -   , -   , -   , -   , -   , (19.47), 45.94 , 26.36 , 13.69 ,69%,69%
Net profit, -   , -   , (20.24), -   , (1.02), (1.21), (8.20), 41.87 , 0.18 , 13.47 , 6.02 , 68.97 , 20.73 
EPS, -   , -   , (0.68), -   , (0.03), (0.03), (0.19), 0.79 , 0.00 , 0.25 , 0.09 , 1.04 , 0.31 
Price to earning,  ,  ,  ,  ,  ,  ,  , 60.91 ," 30,954.89 ", 673.47 , 537.77 ," 8,056.76 ", 537.77 
Price, -   , -   , -   , -   , -   , -   , -   , 48.03 , 103.39 , 167.13 , 48.80 ," 8,376.13 ", 168.03 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.31%,,,
OPM,0.00%,0.00%,0.00%,0.00%,19.92%,0.00%,0.00%,0.00%,11.27%,18.66%,13.80%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,160.29%,118.72%,475.47%,475.47%,118.72%
,,,,,,OPM,14.30%,14.30%,14.26%,15.68%,13.80%,15.68%,13.80%
,,,,,,Price to Earning," 8,056.76 "," 8,056.76 "," 8,056.76 "," 8,056.76 ", 537.77 ," 8,056.76 ", 537.77 
