GULSHAN POLYOLS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 4.17 , 4.22 , 4.22 , 4.22 , 4.22 , 4.22 , 4.44 , 4.63 , 4.69 , 4.69 
Reserves, 90.93 , 93.83 , 107.02 , 122.31 , 143.13 , 166.83 , 194.98 , 227.06 , 254.26 , 268.42 
Borrowings, 56.39 , 48.03 , 44.31 , 38.90 , 35.32 , 83.28 , 89.82 , 137.92 , 163.30 , 181.91 
Other Liabilities, 32.29 , 34.64 , 44.36 , 41.69 , 46.59 , 64.46 , 59.20 , 65.95 , 79.43 , 71.85 
Total, 183.78 , 180.72 , 199.91 , 207.12 , 229.26 , 318.79 , 348.44 , 435.56 , 501.68 , 526.87 
,,,,,,,,,,
Net Block, 111.89 , 98.04 , 95.42 , 105.67 , 98.01 , 147.04 , 141.63 , 144.68 , 197.77 , 297.78 
Capital Work in Progress, 7.91 , 5.06 , 9.16 , 3.44 , 6.39 , 1.86 , 6.58 , 97.22 , 96.93 , 0.72 
Investments, 1.37 , 0.42 , 0.37 , 0.47 , 0.47 , 12.47 , 4.79 , 6.94 , 7.97 , 5.78 
Other Assets, 62.61 , 77.20 , 94.96 , 97.54 , 124.39 , 157.42 , 195.44 , 186.72 , 199.01 , 222.59 
Total, 183.78 , 180.72 , 199.91 , 207.12 , 229.26 , 318.79 , 348.44 , 435.56 , 501.68 , 526.87 
,,,,,,,,,,
Working Capital, 30.32 , 42.56 , 50.60 , 55.85 , 77.80 , 92.96 , 136.24 , 120.77 , 119.58 , 150.74 
Debtors, 32.51 , 39.87 , 48.51 , 38.52 , 55.08 , 59.93 , 63.57 , 73.66 , 89.36 , 115.98 
Inventory, 19.17 , 18.45 , 25.12 , 23.39 , 25.57 , 43.34 , 40.11 , 41.94 , 79.00 , 74.39 
,,,,,,,,,,
Debtor Days, 61.64 , 71.33 , 69.79 , 52.49 , 72.54 , 68.48 , 58.69 , 62.13 , 66.32 , 68.74 
Inventory Turnover, 10.04 , 11.06 , 10.10 , 11.45 , 10.84 , 7.37 , 9.86 , 10.32 , 6.23 , 8.28 
,,,,,,,,,,
Return on Equity,18%,13%,15%,14%,16%,16%,13%,13%,11%,7%
Return on Capital Emp,,14%,15%,16%,19%,16%,13%,13%,9%,8%
,,,,,,,,,,
