ICICI SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , 161.07 , 161.07 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , 323.98 , 664.02 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 395.41 , 672.51 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   ," 1,159.70 "," 1,373.38 "
Total, -   , -   , -   , -   , -   , -   , -   , -   ," 2,040.16 "," 2,870.98 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 34.63 , 38.20 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 2.83 , 3.89 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 14.39 , 14.16 
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   ," 1,988.31 "," 2,814.73 "
Total, -   , -   , -   , -   , -   , -   , -   , -   ," 2,040.16 "," 2,870.98 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   , 828.61 ," 1,441.35 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 709.75 , 309.81 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 31.09 , 37.66 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 184.53 , 60.90 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 45.16 , 49.30 
,,,,,,,,,,
Return on Equity,,,,,,,,,70%,67%
Return on Capital Emp,,,,,,,,,125%,76%
,,,,,,,,,,
