BALKRISHNA PAPER MILLS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.05 , 10.74 , 10.74 , 10.74 , 10.74 
Reserves, -   , -   , -   , -   , -   , -   , 47.82 , 64.37 , 38.39 , (1.85)
Borrowings, -   , -   , -   , -   , -   , -   , 89.24 , 81.98 , 81.00 , 128.72 
Other Liabilities, -   , -   , -   , -   , -   , -   , 38.93 , 50.07 , 75.85 , 89.34 
Total, -   , -   , -   , -   , -   , 0.05 , 186.73 , 207.16 , 205.98 , 226.95 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 79.33 , 77.24 , 156.05 , 155.16 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 65.10 , 80.17 , 4.44 , 1.13 
Investments, -   , -   , -   , -   , -   , -   , 1.00 , 12.10 , -   , -   
Other Assets, -   , -   , -   , -   , -   , 0.05 , 41.30 , 37.65 , 45.49 , 70.66 
Total, -   , -   , -   , -   , -   , 0.05 , 186.73 , 207.16 , 205.98 , 226.95 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 0.05 , 2.37 , (12.42), (30.36), (18.68)
Debtors, -   , -   , -   , -   , -   , -   , 14.78 , 10.40 , 13.91 , 16.32 
Inventory, -   , -   , -   , -   , -   , -   , 16.59 , 13.30 , 16.24 , 25.82 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 276.79 , 24.26 , 28.28 , 28.62 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 1.17 , 11.76 , 11.05 , 8.06 
,,,,,,,,,,
Return on Equity,,,,,,0%,-5%,22%,-48%,-452%
Return on Capital Emp,,,,,,0%,-3%,21%,-9%,-20%
,,,,,,,,,,
