INDOWIND ENERGY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 60.94 , 63.14 , 47.73 , 29.03 , 21.94 , 21.99 , 18.99 , 15.60 , 23.94 , 24.24 , 22.79 , 26.29 , 22.02 
Expenses, 46.15 , 40.74 , 35.61 , 20.73 , 9.16 , 9.36 , 9.93 , 8.20 , 9.42 , 13.55 , 12.43 , 12.85 , 13.64 
Operating Profit, 14.79 , 22.40 , 12.12 , 8.30 , 12.78 , 12.63 , 9.06 , 7.40 , 14.52 , 10.69 , 10.36 , 13.44 , 8.38 
Other Income, 3.82 , (2.61), 1.43 , 8.49 , 2.45 , 1.96 , 5.14 , 7.13 , 2.37 , (17.19), (23.64), -   , -   
Depreciation, 4.37 , 7.16 , 5.82 , 8.18 , 8.06 , 9.57 , 7.54 , 7.55 , 13.67 , 9.50 , 8.45 , 8.45 , 8.45 
Interest, 3.09 , 4.69 , 4.67 , 4.94 , 3.92 , 4.72 , 6.17 , 6.79 , 6.71 , 7.67 , 7.30 , 7.30 , 7.30 
Profit before tax, 11.15 , 7.94 , 3.06 , 3.67 , 3.25 , 0.30 , 0.50 , 0.18 , (3.49), (23.66), (29.03), (2.31), (7.37)
Tax, 10.48 , (6.65), (0.90), (0.43), 0.02 , 0.20 , 0.28 , (0.55), (1.49), (2.66), (2.66),0%,0%
Net profit, 0.67 , 14.59 , 3.96 , 4.10 , 3.23 , 0.10 , 0.22 , 0.73 , (1.99), (21.01), (26.37), (2.31), (7.37)
EPS, 0.14 , 2.93 , 0.80 , 0.46 , 0.36 , 0.01 , 0.02 , 0.08 , (0.22), (2.34), (2.94), (0.26), (0.82)
Price to earning, 275.61 , 17.00 , 28.02 , 12.76 , 9.86 , 330.67 , 211.24 , 46.32 , (21.12), (3.47), -   , 46.32 , -   
Price, 38.68 , 49.88 , 22.31 , 5.83 , 3.55 , 3.68 , 5.18 , 3.77 , 4.68 , 8.12 , 5.35 , (11.90), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,24.27%,35.48%,25.39%,28.59%,58.25%,57.44%,47.71%,47.44%,60.65%,44.10%,45.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-9.74%,-9.23%,2.01%,8.48%,1.25%,8.48%,-9.74%
,,,,,,OPM,38.07%,48.40%,51.83%,51.13%,45.46%,51.13%,38.07%
,,,,,,Price to Earning, 116.44 , 122.17 , 196.08 , 46.32 , -   , 46.32 , -   
