MANPASAND BEVERAGES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 2.50 , 2.50 , 2.50 , 37.55 , 50.05 , 57.22 , 114.46 
Reserves, -   , -   , -   , 50.17 , 72.19 , 92.28 , 153.36 , 551.53 ," 1,096.30 "," 1,132.07 "
Borrowings, -   , -   , -   , 31.77 , 54.79 , 74.32 , 116.63 , -   , 0.34 , 95.53 
Other Liabilities, -   , -   , -   , 14.32 , 34.30 , 26.70 , 42.96 , 59.36 , 81.17 , 85.68 
Total, -   , -   , -   , 98.76 , 163.78 , 195.80 , 350.50 , 660.94 ," 1,235.03 "," 1,427.74 "
,,,,,,,,,,
Net Block, -   , -   , -   , 39.90 , 92.65 , 91.94 , 84.66 , 266.05 , 448.35 , 534.44 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 131.63 , 133.94 , 18.34 , 180.79 
Investments, -   , -   , -   , 6.00 , 0.21 , 0.21 , 0.03 , 0.65 , 205.42 , 40.70 
Other Assets, -   , -   , -   , 52.86 , 70.92 , 103.65 , 134.18 , 260.30 , 562.92 , 671.81 
Total, -   , -   , -   , 98.76 , 163.78 , 195.80 , 350.50 , 660.94 ," 1,235.03 "," 1,427.74 "
,,,,,,,,,,
Working Capital, -   , -   , -   , 38.54 , 36.62 , 76.95 , 91.22 , 200.94 , 481.75 , 586.13 
Debtors, -   , -   , -   , 20.41 , 32.57 , 47.74 , 59.34 , 67.75 , 75.19 , 139.27 
Inventory, -   , -   , -   , 15.99 , 20.74 , 41.60 , 42.38 , 70.42 , 61.60 , 95.70 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 87.20 , 50.64 , 60.30 , 60.77 , 47.46 , 39.12 , 53.59 
Inventory Turnover, -   , -   , -   , 5.34 , 11.32 , 6.95 , 8.41 , 7.40 , 11.39 , 9.91 
,,,,,,,,,,
Return on Equity,,,,12%,30%,22%,16%,8%,6%,8%
Return on Capital Emp,,,,23%,27%,21%,18%,14%,10%,10%
,,,,,,,,,,
