ESCORTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 90.71 , 90.71 , 102.28 , 102.31 , 119.27 , 119.27 , 119.29 , 122.58 , 122.58 , 122.58 
Reserves," 1,111.95 "," 1,353.48 "," 1,635.55 "," 1,696.23 "," 1,494.69 "," 1,712.11 "," 1,677.01 "," 1,715.10 "," 1,894.80 "," 2,451.52 "
Borrowings, 437.07 , 265.26 , 298.60 , 371.83 , 553.44 , 436.18 , 481.00 , 360.50 , 262.81 , 50.06 
Other Liabilities, 834.32 , 906.96 , 911.40 ," 1,004.19 "," 1,352.26 "," 1,302.34 "," 1,184.66 "," 1,177.44 "," 1,317.26 "," 1,725.60 "
Total," 2,474.05 "," 2,616.41 "," 2,947.83 "," 3,174.56 "," 3,519.66 "," 3,569.90 "," 3,461.96 "," 3,375.62 "," 3,597.45 "," 4,349.76 "
,,,,,,,,,,
Net Block, 822.52 ," 1,456.90 "," 1,449.71 "," 1,461.88 "," 1,586.25 "," 1,642.69 "," 1,582.96 "," 1,559.30 "," 1,577.76 "," 1,581.05 "
Capital Work in Progress, 14.43 , 10.71 , 19.43 , 45.27 , 66.49 , 37.36 , 55.46 , 58.19 , 34.70 , 64.06 
Investments, 425.79 , 235.80 , 365.80 , 365.80 , 385.91 , 381.50 , 383.45 , 415.52 , 587.46 , 894.33 
Other Assets," 1,211.31 ", 913.00 ," 1,112.89 "," 1,301.61 "," 1,481.01 "," 1,508.35 "," 1,440.09 "," 1,342.61 "," 1,397.53 "," 1,810.32 "
Total," 2,474.05 "," 2,616.41 "," 2,947.83 "," 3,174.56 "," 3,519.66 "," 3,569.90 "," 3,461.96 "," 3,375.62 "," 3,597.45 "," 4,349.76 "
,,,,,,,,,,
Working Capital, 376.99 , 6.04 , 201.49 , 297.42 , 128.75 , 206.01 , 255.43 , 165.17 , 80.27 , 84.72 
Debtors, 518.22 , 329.15 , 332.62 , 340.53 , 454.92 , 352.41 , 397.06 , 390.07 , 458.02 , 599.98 
Inventory, 204.35 , 199.49 , 296.46 , 327.36 , 537.12 , 586.69 , 476.63 , 420.96 , 429.48 , 541.06 
,,,,,,,,,,
Debtor Days, 94.94 , 55.68 , 44.22 , 38.38 , 42.64 , 20.44 , 36.36 , 42.28 , 40.84 , 43.84 
Inventory Turnover, 9.75 , 10.82 , 9.26 , 9.89 , 7.25 , 10.72 , 8.36 , 8.00 , 9.53 , 9.23 
,,,,,,,,,,
Return on Equity,1%,6%,8%,7%,4%,13%,4%,5%,8%,13%
Return on Capital Emp,,11%,13%,7%,9%,17%,6%,7%,12%,22%
,,,,,,,,,,
