FEDERAL-MOGUL GOETZE (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 685.68 , 759.97 , 907.43 ," 1,149.70 "," 1,177.93 "," 1,135.91 "," 1,534.89 "," 1,329.01 "," 1,255.89 "," 1,303.87 "," 1,326.48 "," 1,353.68 "," 1,233.67 "
Expenses, 642.09 , 660.30 , 831.74 ," 1,039.23 "," 1,112.95 "," 1,033.25 "," 1,397.37 "," 1,187.23 "," 1,071.40 "," 1,111.08 "," 1,131.85 "," 1,155.06 "," 1,107.05 "
Operating Profit, 43.59 , 99.67 , 75.69 , 110.47 , 64.98 , 102.66 , 137.52 , 141.78 , 184.49 , 192.79 , 194.63 , 198.62 , 126.62 
Other Income, 28.57 , 22.20 , 32.15 , 16.69 , 13.00 , 20.61 , 36.28 , 33.62 , 25.73 , 24.35 , 28.81 , -   , -   
Depreciation, 46.34 , 49.49 , 48.22 , 53.66 , 61.94 , 66.14 , 89.37 , 75.18 , 76.43 , 73.43 , 77.60 , 77.60 , 77.60 
Interest, 30.99 , 21.70 , 13.93 , 24.86 , 29.88 , 26.78 , 36.97 , 28.42 , 20.68 , 10.94 , 9.25 , 9.25 , 9.25 
Profit before tax, (5.17), 50.68 , 45.69 , 48.64 , (13.84), 30.35 , 47.46 , 71.80 , 113.11 , 132.78 , 136.59 , 111.77 , 39.77 
Tax, 1.72 , 4.59 , 11.30 , 11.18 , 2.52 , 9.78 , 16.10 , 27.79 , 38.97 , 49.83 , 49.65 ,36%,36%
Net profit, (6.89), 46.09 , 34.39 , 37.46 , (16.36), 20.59 , 31.36 , 44.01 , 74.14 , 82.95 , 86.94 , 71.14 , 25.31 
EPS, (1.24), 8.28 , 6.18 , 6.73 , (2.94), 3.70 , 5.64 , 7.91 , 13.33 , 14.91 , 15.63 , 12.79 , 4.55 
Price to earning, (29.28), 19.38 , 27.96 , 30.86 , (67.13), 52.74 , 79.00 , 40.90 , 44.79 , 30.62 , 35.68 , 38.00 , 35.68 
Price, 36.26 , 160.53 , 172.85 , 207.77 , 197.42 , 195.19 , 445.32 , 323.58 , 596.92 , 456.53 , 557.55 , 485.92 , 162.33 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,6.36%,13.11%,8.34%,9.61%,5.52%,9.04%,8.96%,10.67%,14.69%,14.79%,14.67%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.40%,5.31%,2.05%,-5.29%,3.82%,3.82%,-5.29%
,,,,,,OPM,10.26%,10.52%,11.57%,13.35%,14.67%,14.67%,10.26%
,,,,,,Price to Earning, 40.21 , 44.94 , 47.29 , 38.00 , 35.68 , 38.00 , 35.68 
