LANDMARK PROPERTY DEVELOPMENT COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 2.18 , 2.87 , 2.72 , 2.88 , 3.51 , 3.60 , 3.86 , 2.58 , 2.53 , 1.75 , -   , 1.34 , 1.75 
Expenses, 1.61 , 2.23 , 1.56 , 2.22 , 2.77 , 2.28 , 3.10 , 2.20 , 2.14 , 2.07 , 0.88 , 1.19 , 1.75 
Operating Profit, 0.57 , 0.64 , 1.16 , 0.66 , 0.74 , 1.32 , 0.76 , 0.38 , 0.39 , (0.32), (0.88), 0.15 , -   
Other Income, 1.66 , 0.14 , 0.20 , 0.27 , 0.31 , 2.40 , 0.76 , 0.66 , 0.70 , 0.94 , 1.10 , -   , -   
Depreciation, -   , 0.03 , 0.01 , 0.01 , 0.01 , -   , 0.01 , -   , -   , -   , -   , -   , -   
Interest, 0.01 , 0.01 , 0.02 , -   , -   , -   , 0.03 , -   , -   , -   , -   , -   , -   
Profit before tax, 2.22 , 0.74 , 1.33 , 0.92 , 1.03 , 3.71 , 1.50 , 1.04 , 1.11 , 0.63 , 0.22 , 0.15 , -   
Tax, 0.74 , 0.23 , 0.43 , 0.24 , 0.23 , 1.10 , 0.37 , 0.18 , 0.25 , 0.10 , 0.05 ,23%,23%
Net profit, 1.48 , 0.51 , 0.90 , 0.68 , 0.80 , 2.60 , 1.14 , 0.86 , 0.85 , 0.53 , 0.18 , 0.12 , -   
EPS, 0.11 , 0.04 , 0.07 , 0.05 , 0.06 , 0.19 , 0.08 , 0.06 , 0.06 , 0.04 , 0.01 , 0.01 , -   
Price to earning, 44.08 , 125.27 , 55.80 , 37.89 , 40.17 , 11.33 , 43.68 , 55.99 , 58.47 , 95.42 , 257.00 , 257.00 , 74.99 
Price, 4.86 , 4.76 , 3.74 , 1.92 , 2.40 , 2.20 , 3.71 , 3.59 , 3.70 , 3.77 , 3.45 , 2.23 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,83.75%,36.15%,0.00%,0.00%,0.00%,0.00%,,,
OPM,26.15%,22.30%,42.65%,22.92%,21.08%,36.67%,19.69%,14.73%,15.42%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-2.41%,-6.11%,-12.99%,-23.18%,-30.83%,-23.18%,-30.83%
,,,,,,OPM,23.24%,20.52%,19.90%,11.22%,0.00%,11.22%,0.00%
,,,,,,Price to Earning, 75.01 , 74.99 , 86.98 , 116.72 , 257.00 , 257.00 , 74.99 
