MANPASAND BEVERAGES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 85.43 , 234.75 , 288.95 , 356.44 , 521.07 , 701.46 , 948.49 ," 1,057.17 "," 1,314.36 "," 1,289.07 "
Expenses, -   , -   , -   , 71.68 , 201.12 , 248.61 , 295.64 , 410.28 , 561.68 , 770.84 , 850.80 ," 1,055.11 "," 1,052.04 "
Operating Profit, -   , -   , -   , 13.75 , 33.63 , 40.34 , 60.80 , 110.79 , 139.78 , 177.65 , 206.37 , 259.25 , 237.03 
Other Income, -   , -   , -   , 0.41 , 0.32 , 0.05 , 0.41 , 8.65 , 17.91 , 29.78 , 19.66 , -   , -   
Depreciation, -   , -   , -   , 4.55 , 10.16 , 14.89 , 20.53 , 57.05 , 73.76 , 86.61 , 104.40 , 104.40 , 104.40 
Interest, -   , -   , -   , 3.01 , 4.28 , 7.71 , 10.65 , 5.72 , 1.18 , 2.92 , 8.55 , 8.55 , 8.55 
Profit before tax, -   , -   , -   , 6.82 , 24.59 , 23.15 , 33.34 , 56.69 , 82.74 , 117.90 , 113.08 , 146.30 , 124.08 
Tax, -   , -   , -   , 0.73 , 2.23 , 2.65 , 3.40 , 6.18 , 10.10 , 17.90 , 15.70 ,14%,14%
Net profit, -   , -   , -   , 6.10 , 22.37 , 20.50 , 29.95 , 50.50 , 72.64 , 100.00 , 97.37 , 125.99 , 106.85 
EPS, -   , -   , -   , 2.32 , 8.53 , 7.81 , 7.98 , 10.09 , 12.70 , 8.74 , 8.51 , 11.01 , 9.34 
Price to earning,  ,  ,  ,  ,  ,  ,  , 24.97 , 28.07 , 45.93 , 8.29 , 26.81 , 8.29 
Price, -   , -   , -   , -   , -   , -   , -   , 251.92 , 356.33 , 401.24 , 70.50 , 295.12 , 77.36 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,1.12%,1.22%,12.52%,9.90%,7.87%,5.72%,,,
OPM,0.00%,0.00%,0.00%,16.10%,14.33%,13.96%,17.06%,21.26%,19.93%,18.73%,19.52%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,32.22%,38.57%,35.22%,38.57%,32.22%
,,,,,,OPM,18.39%,18.39%,18.80%,19.72%,19.52%,19.72%,18.39%
,,,,,,Price to Earning, 26.81 , 26.81 , 26.81 , 26.81 , 8.29 , 26.81 , 8.29 
