CENTRUM CAPITAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 77.99 , 69.76 , 60.12 , 59.99 , 70.83 , 61.28 , 73.52 , 50.80 , 38.90 , 41.99 , 28.15 , 45.33 , 37.20 
Expenses, 41.45 , 46.93 , 64.70 , 49.66 , 38.51 , 32.58 , 34.09 , 28.98 , 87.78 , 45.53 , 137.09 , 37.82 , 37.20 
Operating Profit, 36.54 , 22.83 , (4.58), 10.33 , 32.32 , 28.70 , 39.43 , 21.82 , (48.88), (3.54), (108.94), 7.51 , -   
Other Income, (0.04), 0.78 , (0.05), 0.27 , 3.39 , 2.01 , 0.31 , 6.98 , 130.39 , 104.04 , 576.30 , -   , -   
Depreciation, 3.58 , 3.59 , 3.59 , 3.67 , 3.68 , 3.64 , 3.53 , 2.47 , 2.59 , 1.31 , 1.33 , 1.33 , 1.33 
Interest, 4.65 , 6.26 , 5.99 , 15.33 , 16.67 , 17.12 , 22.54 , 17.84 , 37.83 , 33.61 , 41.44 , 41.44 , 41.44 
Profit before tax, 28.27 , 13.76 , (14.21), (8.41), 15.36 , 9.95 , 13.66 , 8.49 , 41.09 , 65.60 , 424.59 , (35.26), (42.77)
Tax, 12.05 , 5.27 , (1.03), 1.32 , 1.65 , (1.46), 4.15 , 2.39 , 3.57 , 2.27 , 94.40 ,22%,22%
Net profit, 16.22 , 8.49 , (13.18), (9.73), 13.71 , 11.41 , 9.51 , 6.10 , 37.52 , 63.33 , 330.19 , (27.42), (33.26)
EPS, 0.39 , 0.20 , (0.32), (0.23), 0.33 , 0.27 , 0.23 , 0.15 , 0.90 , 1.52 , 7.94 , (0.66), (0.80)
Price to earning, 69.43 , 106.32 , (70.45), (67.58), 77.90 , 51.65 , 58.36 , 94.92 , 47.85 , 40.08 , 3.87 , 46.68 , 3.87 
Price, 27.14 , 21.75 , 22.32 , 15.81 , 25.67 , 14.17 , 13.34 , 13.92 , 43.16 , 61.01 , 30.70 , (30.77), (3.09)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,4.19%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.54%,3.28%,,,
OPM,46.85%,32.73%,0.00%,17.22%,45.63%,46.83%,53.63%,42.95%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-6.65%,-5.00%,-9.93%,-17.03%,7.94%,7.94%,-17.03%
,,,,,,OPM,31.72%,33.37%,33.75%,16.57%,0.00%,16.57%,0.00%
,,,,,,Price to Earning, 61.15 , 53.52 , 49.45 , 46.68 , 3.87 , 46.68 , 3.87 
