GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 2,919.38 "," 2,614.13 "," 2,841.44 "," 3,862.01 "," 4,252.57 "," 4,847.19 "," 4,641.51 "," 4,551.90 "," 4,588.77 "," 5,837.31 "," 6,229.45 "," 7,425.56 "," 6,244.71 "
Expenses," 2,482.34 "," 2,330.18 "," 2,466.84 "," 3,310.60 "," 3,659.25 "," 4,230.72 "," 4,662.03 "," 3,989.03 "," 3,935.93 "," 4,446.68 "," 4,994.99 "," 5,954.07 "," 5,422.14 "
Operating Profit, 437.04 , 283.95 , 374.60 , 551.41 , 593.32 , 616.47 , (20.52), 562.87 , 652.84 ," 1,390.63 "," 1,234.46 "," 1,471.49 ", 822.57 
Other Income, 64.14 , 77.96 , 143.56 , 30.10 , 40.31 , 45.05 , 51.72 , 252.37 , 517.09 , 141.52 , 199.77 , -   , -   
Depreciation, 119.73 , 116.96 , 121.11 , 130.53 , 148.55 , 145.31 , 208.77 , 250.82 , 251.44 , 270.47 , 265.12 , 265.12 , 265.12 
Interest, 28.45 , 25.46 , 20.26 , 33.59 , 62.68 , 92.37 , 274.50 , 296.72 , 203.44 , 99.71 , 19.49 , 19.49 , 19.49 
Profit before tax, 353.71 , 219.89 , 381.24 , 417.39 , 422.40 , 423.84 , (452.07), 267.70 , 715.05 ," 1,161.97 "," 1,149.62 "," 1,186.88 ", 537.96 
Tax, 126.19 , 96.05 , 114.71 , 133.56 , 149.29 , 131.56 , -   , 95.02 , 193.75 , 372.45 , 173.07 ,15%,15%
Net profit, 227.52 , 123.84 , 266.53 , 283.83 , 273.11 , 292.27 , (452.07), 172.68 , 521.30 , 789.52 , 976.55 ," 1,008.20 ", 456.97 
EPS, 14.45 , 7.97 , 17.15 , 18.26 , 17.57 , 18.81 , (29.09), 11.11 , 33.54 , 50.80 , 62.83 , 64.87 , 29.40 
Price to earning, 4.72 , 14.66 , 6.24 , 4.53 , 4.30 , 4.32 , (2.49), 7.95 , 8.55 , 8.26 , 5.06 , 7.45 , 5.06 
Price, 68.23 , 116.79 , 107.02 , 82.81 , 75.64 , 81.27 , 72.46 , 88.36 , 286.80 , 419.41 , 317.95 , 483.60 , 148.78 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,22.20%,40.79%,18.95%,19.17%,19.92%,18.61%,0.00%,18.00%,14.91%,14.76%,,,
OPM,14.97%,10.86%,13.18%,14.28%,13.95%,12.72%,0.00%,12.37%,14.23%,23.82%,19.82%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.00%,10.83%,6.54%,7.94%,27.21%,27.21%,6.54%
,,,,,,OPM,13.34%,13.41%,13.17%,17.40%,19.82%,19.82%,13.17%
,,,,,,Price to Earning, 6.86 , 6.14 , 6.83 , 7.45 , 5.06 , 7.45 , 5.06 
