MARKSANS PHARMA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 36.78 , 36.78 , 36.78 , 36.78 , 38.53 , 38.53 , 40.93 , 40.93 , 40.93 , 40.93 
Reserves, 108.81 , 125.37 , (92.42), (239.52), 57.95 , 107.89 , 304.75 , 369.27 , 377.95 , 388.04 
Borrowings, 319.06 , 352.90 , 103.31 , 100.10 , 90.66 , 89.26 , 49.93 , 40.62 , 73.23 , 66.86 
Other Liabilities, 63.86 , 62.56 , 361.26 , 345.27 , 133.48 , 140.75 , 133.02 , 84.90 , 54.24 , 60.42 
Total, 528.51 , 577.61 , 408.93 , 242.63 , 320.62 , 376.43 , 528.63 , 535.72 , 546.35 , 556.25 
,,,,,,,,,,
Net Block, 278.95 , 294.14 , 184.90 , 76.66 , 72.85 , 66.82 , 90.01 , 97.47 , 93.92 , 87.89 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 0.36 , -   
Investments, 67.56 , 77.62 , 67.62 , 23.51 , 67.62 , 67.62 , 67.62 , 231.44 , 234.29 , 236.07 
Other Assets, 182.00 , 205.85 , 156.41 , 142.46 , 180.15 , 241.99 , 371.00 , 206.81 , 217.78 , 232.29 
Total, 528.51 , 577.61 , 408.93 , 242.63 , 320.62 , 376.43 , 528.63 , 535.72 , 546.35 , 556.25 
,,,,,,,,,,
Working Capital, 118.14 , 143.29 , (204.85), (202.81), 46.67 , 101.24 , 237.98 , 121.91 , 163.54 , 171.87 
Debtors, 50.81 , 67.20 , 72.17 , 74.19 , 91.42 , 112.38 , 124.63 , 133.41 , 154.80 , 168.87 
Inventory, 98.33 , 83.06 , 40.02 , 40.24 , 51.32 , 55.61 , 51.03 , 43.74 , 29.24 , 42.29 
,,,,,,,,,,
Debtor Days, 92.95 , 122.91 , 170.28 , 175.17 , 173.52 , 130.24 , 112.16 , 135.97 , 261.78 , 209.18 
Inventory Turnover, 2.03 , 2.40 , 3.87 , 3.84 , 3.75 , 5.66 , 7.95 , 8.19 , 7.38 , 6.97 
,,,,,,,,,,
Return on Equity,0%,0%,,,41%,38%,19%,17%,3%,3%
Return on Capital Emp,,3%,-62%,,94%,37%,35%,23%,3%,5%
,,,,,,,,,,
