MANAKSIA ALUMINIUM COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.05 , 6.55 , 6.55 , 6.55 , 6.55 
Reserves, -   , -   , -   , -   , -   , 107.57 , 100.81 , 95.77 , 91.19 , 92.48 
Borrowings, -   , -   , -   , -   , -   , 78.61 , 101.23 , 95.33 , 89.42 , 86.27 
Other Liabilities, -   , -   , -   , -   , -   , 75.93 , 35.31 , 32.66 , 36.33 , 38.90 
Total, -   , -   , -   , -   , -   , 262.16 , 243.90 , 230.31 , 223.49 , 224.20 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , 95.11 , 98.00 , 92.88 , 89.03 , 83.97 
Capital Work in Progress, -   , -   , -   , -   , -   , 11.88 , 5.94 , 5.92 , 6.29 , 10.84 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , -   , 155.17 , 139.96 , 131.51 , 128.17 , 129.39 
Total, -   , -   , -   , -   , -   , 262.16 , 243.90 , 230.31 , 223.49 , 224.20 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 79.24 , 104.65 , 98.85 , 91.84 , 90.49 
Debtors, -   , -   , -   , -   , -   , 55.57 , 27.79 , 38.55 , 18.38 , 17.24 
Inventory, -   , -   , -   , -   , -   , 56.01 , 73.31 , 60.84 , 70.20 , 74.71 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 114.44 , 34.10 , 52.99 , 28.14 , 27.61 
Inventory Turnover, -   , -   , -   , -   , -   , 3.16 , 4.06 , 4.36 , 3.40 , 3.05 
,,,,,,,,,,
Return on Equity,,,,,,2%,-6%,-5%,-5%,1%
Return on Capital Emp,,,,,,9%,-1%,0%,1%,5%
,,,,,,,,,,
