ANDHRA CEMENTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Jun-11,Mar-12,Mar-13,Mar-14,Jun-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 368.74 , 294.54 , 62.77 , 0.02 , -   , -   , 278.01 , 291.96 , 349.29 , 466.26 , 368.61 , 622.40 , 476.00 
Expenses, 317.52 , 298.40 , 82.05 , 27.06 , 31.74 , 14.56 , 253.45 , 257.95 , 310.35 , 411.38 , 347.88 , 550.56 , 449.23 
Operating Profit, 51.22 , (3.86), (19.28), (27.04), (31.74), (14.56), 24.56 , 34.01 , 38.94 , 54.88 , 20.73 , 71.84 , 26.77 
Other Income, 17.26 , 16.14 , 3.14 , 57.37 , 5.30 , 3.09 , (35.82), 2.88 , 2.33 , 45.34 , (37.90), -   , -   
Depreciation, 1.11 , 1.23 , 1.28 , 0.68 , 1.36 , 2.49 , 25.19 , 30.12 , 40.04 , 44.76 , 46.67 , 46.67 , 46.67 
Interest, 6.61 , 5.66 , 13.67 , 8.89 , 6.23 , 8.17 , 62.46 , 74.04 , 105.01 , 127.39 , 113.48 , 113.48 , 113.48 
Profit before tax, 60.98 , 5.39 , (31.09), 20.77 , (34.02), (22.13), (98.91), (67.25), (103.80), (71.94), (177.32), (88.31), (133.38)
Tax, 22.62 , (42.29), (6.49), 11.11 , (13.34), 56.08 , (0.02), (0.37), (0.68), (0.84), (1.07),0%,0%
Net profit, 38.36 , 47.68 , (24.60), 9.67 , (20.68), (78.21), (98.89), (66.88), (103.12), (71.09), (176.25), (88.31), (133.38)
EPS, 2.89 , 3.43 , (1.68), 0.33 , (0.70), (2.66), (3.37), (2.28), (3.51), (2.42), (6.00), (3.01), (4.54)
Price to earning, 6.48 , 7.76 , (6.50), 29.21 , (10.33), (2.29), (1.95), (3.53), (2.61), (4.64), -   , -   , -   
Price, 18.76 , 26.60 , 10.96 , 9.62 , 7.28 , 6.10 , 6.57 , 8.04 , 9.17 , 11.24 , 4.70 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,13.89%,0.00%,0.00%,0.00%,0.00%,0.00%,8.83%,11.65%,11.15%,11.77%,5.62%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.64%,33.17%,,18.81%,33.49%,33.49%,2.64%
,,,,,,OPM,9.64%,11.00%,11.00%,11.54%,5.62%,11.54%,5.62%
,,,,,,Price to Earning, 14.48 , 29.21 ,  ,  , -   , -   , -   
