K P R MILL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 718.18 , 788.50 ," 1,056.81 "," 1,198.15 "," 1,493.02 "," 1,959.75 "," 2,080.48 "," 1,961.27 "," 2,219.14 "," 2,511.52 "," 2,978.53 "," 2,978.53 "," 2,704.45 "
Expenses, 637.58 , 665.74 , 808.04 ," 1,021.13 "," 1,135.95 "," 1,607.43 "," 1,723.82 "," 1,605.26 "," 1,773.49 "," 2,081.57 "," 2,463.01 "," 2,430.35 "," 2,236.37 "
Operating Profit, 80.60 , 122.76 , 248.77 , 177.02 , 357.07 , 352.32 , 356.66 , 356.01 , 445.65 , 429.95 , 515.52 , 548.18 , 468.08 
Other Income, 32.03 , 43.86 , 0.10 , 6.74 , 6.05 , 29.52 , 21.77 , 34.21 , 27.12 , 15.07 , 29.31 , -   , -   
Depreciation, 55.96 , 70.50 , 125.68 , 103.62 , 141.81 , 129.82 , 125.87 , 123.84 , 117.43 , 104.97 , 95.83 , 95.83 , 95.83 
Interest, 38.37 , 27.16 , 31.16 , 47.04 , 80.08 , 72.34 , 64.50 , 44.42 , 45.03 , 30.49 , 36.24 , 36.24 , 36.24 
Profit before tax, 18.30 , 68.96 , 92.03 , 33.10 , 141.23 , 179.68 , 188.06 , 221.96 , 310.31 , 309.56 , 412.76 , 416.11 , 336.01 
Tax, 8.20 , 18.78 , 20.77 , 1.87 , 40.47 , 49.12 , 42.08 , 65.82 , 71.89 , 84.59 , 123.64 ,30%,30%
Net profit, 10.10 , 50.18 , 71.26 , 31.23 , 100.76 , 130.56 , 145.98 , 156.14 , 238.42 , 224.97 , 289.12 , 291.47 , 235.36 
EPS, 1.34 , 6.66 , 9.46 , 4.14 , 13.37 , 17.32 , 19.37 , 20.72 , 32.26 , 30.44 , 39.85 , 40.17 , 32.44 
Price to earning, 10.54 , 9.84 , 9.81 , 9.92 , 4.45 , 3.64 , 14.53 , 19.91 , 21.59 , 21.75 , 15.41 , 19.66 , 12.85 
Price, 14.12 , 65.50 , 92.77 , 41.10 , 59.52 , 63.08 , 281.38 , 412.42 , 696.70 , 662.10 , 613.95 , 789.88 , 416.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,74.65%,41.29%,31.73%,60.33%,22.44%,20.21%,23.23%,24.13%,2.32%,2.46%,,,
OPM,11.22%,15.57%,23.54%,14.77%,23.92%,17.98%,17.14%,18.15%,20.08%,17.12%,17.31%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.92%,13.16%,10.96%,6.48%,18.59%,18.59%,6.48%
,,,,,,OPM,18.31%,18.44%,18.08%,18.40%,17.31%,18.40%,17.31%
,,,,,,Price to Earning, 12.85 , 13.90 , 16.14 , 19.66 , 15.41 , 19.66 , 12.85 
