DILIP BUILDCON LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 230.52 , 434.30 ," 1,187.20 "," 1,910.66 "," 2,315.82 "," 2,624.10 "," 3,993.43 "," 5,013.12 "," 7,700.15 "," 9,118.23 "," 11,827.43 "," 10,631.55 "
Expenses, -   , 189.88 , 344.01 , 925.73 ," 1,438.69 "," 1,845.78 "," 2,058.56 "," 3,285.35 "," 4,105.38 "," 6,343.27 "," 7,513.85 "," 9,722.92 "," 8,760.90 "
Operating Profit, -   , 40.64 , 90.29 , 261.47 , 471.97 , 470.04 , 565.54 , 708.08 , 907.74 ," 1,356.88 "," 1,604.38 "," 2,104.51 "," 1,870.65 "
Other Income, -   , 4.11 , 2.15 , 2.62 , 2.48 , 6.56 , 6.04 , 15.02 , 11.45 , 0.49 , 50.65 , -   , -   
Depreciation, -   , 6.87 , 18.18 , 42.89 , 70.92 , 78.81 , 117.93 , 183.49 , 227.39 , 274.95 , 320.18 , 320.18 , 320.18 
Interest, -   , 8.52 , 15.72 , 57.24 , 104.81 , 155.12 , 258.74 , 381.40 , 416.24 , 464.44 , 529.88 , 529.88 , 529.88 
Profit before tax, -   , 29.35 , 58.54 , 163.96 , 298.74 , 242.66 , 194.92 , 250.10 , 360.07 , 663.72 , 804.97 ," 1,254.45 "," 1,020.59 "
Tax, -   , 10.39 , 19.51 , 56.00 , 47.85 , 48.39 , 49.14 , 29.30 , (0.88), 43.42 , 40.01 ,5%,5%
Net profit, -   , 18.97 , 39.03 , 107.96 , 250.89 , 194.28 , 145.78 , 220.80 , 360.94 , 620.30 , 764.95 ," 1,192.10 ", 969.87 
EPS, -   , 1.79 , 3.69 , 10.21 , 23.74 , 18.38 , 12.45 , 18.85 , 26.39 , 45.35 , 55.93 , 87.16 , 70.91 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 14.79 , 25.36 , 11.01 , 17.05 , 11.01 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 390.22 ," 1,150.14 ", 615.75 ," 1,486.25 ", 780.70 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,3.43%,2.25%,0.82%,0.38%,0.49%,0.40%,0.13%,3.79%,2.21%,,,
OPM,0.00%,17.63%,20.79%,22.02%,24.70%,20.30%,21.55%,17.73%,18.11%,17.62%,17.60%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,50.80%,32.15%,43.17%,53.60%,53.60%,32.15%
,,,,,,OPM,19.18%,19.16%,18.52%,17.79%,17.60%,17.79%,17.60%
,,,,,,Price to Earning, 17.05 , 17.05 , 17.05 , 17.05 , 11.01 , 17.05 , 11.01 
