APOLLO MICRO SYSTEMS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 102.96 , 151.05 , 200.87 , 220.46 , 262.98 , 284.15 , 271.18 
Expenses, -   , -   , -   , -   , -   , -   , 90.29 , 133.69 , 160.26 , 171.15 , 214.56 , 230.89 , 223.02 
Operating Profit, -   , -   , -   , -   , -   , -   , 12.67 , 17.36 , 40.61 , 49.31 , 48.42 , 53.26 , 48.17 
Other Income, -   , -   , -   , -   , -   , -   , 0.35 , 0.49 , 1.87 , 0.31 , 3.22 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 3.94 , 2.72 , 3.93 , 6.50 , 6.19 , 6.19 , 6.19 
Interest, -   , -   , -   , -   , -   , -   , 5.11 , 8.14 , 11.44 , 12.17 , 13.21 , 13.21 , 13.21 
Profit before tax, -   , -   , -   , -   , -   , -   , 9.40 , 14.84 , 27.12 , 30.96 , 32.24 , 33.86 , 28.77 
Tax, -   , -   , -   , -   , -   , -   , 1.95 , 4.84 , 9.67 , 11.79 , 3.12 ,10%,10%
Net profit, -   , -   , -   , -   , -   , -   , 7.45 , 10.00 , 17.45 , 19.17 , 29.13 , 30.58 , 25.98 
EPS, -   , -   , -   , -   , -   , -   , 5.43 , 7.29 , 12.73 , 9.23 , 14.03 , 14.73 , 12.51 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 26.87 , 9.92 , 18.39 , 9.92 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 248.06 , 139.10 , 270.87 , 124.07 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.31%,11.49%,20.22%,22.37%,18.41%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,28.89%,19.29%,28.89%,19.29%
,,,,,,OPM,17.76%,17.76%,17.76%,18.74%,18.41%,18.74%,17.76%
,,,,,,Price to Earning, 18.39 , 18.39 , 18.39 , 18.39 , 9.92 , 18.39 , 9.92 
