ITC LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 15,604.35 "," 18,144.18 "," 21,450.04 "," 25,138.06 "," 29,892.63 "," 33,228.35 "," 36,489.96 "," 36,582.67 "," 40,079.67 "," 40,619.65 "," 44,995.65 "," 44,995.65 "," 42,256.80 "
Expenses," 10,811.58 "," 12,138.31 "," 14,017.73 "," 16,269.40 "," 19,245.68 "," 20,752.83 "," 22,995.38 "," 22,833.83 "," 25,479.25 "," 25,055.72 "," 27,690.14 "," 27,690.14 "," 26,955.18 "
Operating Profit," 4,792.77 "," 6,005.87 "," 7,432.31 "," 8,868.66 "," 10,646.95 "," 12,475.52 "," 13,494.58 "," 13,748.84 "," 14,600.42 "," 15,563.93 "," 17,305.51 "," 17,305.51 "," 15,301.62 "
Other Income, 557.48 , 636.55 , 579.82 , 825.34 , 938.70 ," 1,107.14 "," 1,543.13 "," 1,732.46 "," 1,985.91 "," 2,542.74 "," 2,484.54 ", -   , -   
Depreciation, 549.41 , 608.71 , 655.99 , 698.51 , 795.56 , 899.92 , 961.74 ," 1,000.68 "," 1,038.04 "," 1,145.37 "," 1,311.70 "," 1,311.70 "," 1,311.70 "
Interest, 47.65 , 90.28 , 87.98 , 97.96 , 105.91 , 23.63 , 78.45 , 71.93 , 45.33 , 109.60 , 34.19 , 34.19 , 34.19 
Profit before tax," 4,825.74 "," 6,015.31 "," 7,268.16 "," 8,897.53 "," 10,684.18 "," 12,659.11 "," 13,997.52 "," 14,434.07 "," 15,502.96 "," 16,851.70 "," 18,444.16 "," 15,959.62 "," 13,955.73 "
Tax," 1,562.15 "," 1,954.31 "," 2,280.55 "," 2,735.16 "," 3,265.79 "," 3,873.90 "," 4,389.79 "," 5,105.70 "," 5,302.06 "," 5,628.45 "," 5,979.84 ",32%,32%
Net profit," 3,263.59 "," 4,061.00 "," 4,987.61 "," 6,162.37 "," 7,418.39 "," 8,785.21 "," 9,607.73 "," 9,328.37 "," 10,200.90 "," 11,223.25 "," 12,464.32 "," 10,785.30 "," 9,431.10 "
EPS, 2.81 , 3.48 , 4.24 , 5.20 , 6.22 , 7.33 , 7.98 , 7.73 , 8.40 , 9.20 , 10.17 , 8.80 , 7.69 
Price to earning, 22.28 , 25.53 , 29.52 , 30.60 , 32.80 , 31.51 , 28.56 , 28.27 , 33.27 , 29.21 , 28.41 , 29.79 , 28.41 
Price, 62.54 , 88.82 , 125.15 , 159.18 , 203.97 , 231.06 , 227.86 , 218.42 , 279.36 , 268.61 , 288.90 , 262.09 , 218.60 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,42.79%,94.02%,69.04%,57.09%,55.92%,54.32%,52.14%,73.33%,56.56%,56.00%,,,
OPM,30.71%,33.10%,34.65%,35.28%,35.62%,37.54%,36.98%,37.58%,36.43%,38.32%,38.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.22%,9.55%,6.32%,3.64%,10.77%,10.77%,3.64%
,,,,,,OPM,36.21%,36.94%,37.37%,37.44%,38.46%,38.46%,36.21%
,,,,,,Price to Earning, 29.09 , 30.33 , 29.87 , 29.79 , 28.41 , 29.79 , 28.41 
