GARDEN REACH SHIPBUILDERS & ENGINEERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,343.82 "," 1,524.59 "," 1,343.82 "," 1,343.82 "
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,358.65 "," 1,478.31 "," 1,303.03 "," 1,343.82 "
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , (14.83), 46.28 , 40.79 , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , 179.23 , 181.24 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , 28.96 , 28.05 , 28.05 , 28.05 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , 7.69 , 8.10 , 8.10 , 8.10 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , 127.75 , 191.37 , 4.64 , (36.15)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , 40.95 , 62.43 ,33%,33%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , 86.81 , 128.96 , 3.13 , (24.36)
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , 7.58 , 11.26 , 0.27 , (2.13)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 10.62 , 10.62 , 10.62 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 119.55 , 2.90 , (22.58)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,58.53%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.04%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,3.04%,3.04%,0.00%
,,,,,,Price to Earning, 10.62 , 10.62 , 10.62 , 10.62 , 10.62 , 10.62 , 10.62 
