GENERAL INSURANCE CORPORATION OF INDIA,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   ," 13,559.14 "," 15,210.62 "," 26,714.53 "," 38,094.35 "," 37,679.09 "," 54,321.73 "," 53,582.39 "
Expenses, -   , -   , -   , -   , -   , -   ," 15,119.69 "," 16,758.72 "," 27,648.41 "," 39,760.98 "," 40,954.23 "," 54,321.73 "," 53,582.39 "
Operating Profit, -   , -   , -   , -   , -   , -   ," (1,560.55)"," (1,548.10)", (933.88)," (1,666.63)"," (3,275.14)", -   , -   
Other Income, -   , -   , -   , -   , -   , -   ," 4,432.59 "," 4,545.86 "," 4,574.55 "," 5,353.81 "," 6,708.95 ", -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 8.54 , 9.22 , 9.68 , 7.40 , -   , -   , -   
Interest, -   , -   , -   , -   , -   , -   , 32.59 , 1.93 , 7.13 , 11.53 , -   , -   , -   
Profit before tax, -   , -   , -   , -   , -   , -   ," 2,830.90 "," 2,986.63 "," 3,623.86 "," 3,668.26 "," 3,433.81 ", -   , -   
Tax, -   , -   , -   , -   , -   , -   , 28.22 , 331.71 , 496.18 , 434.67 ," 1,209.51 ",35%,35%
Net profit, -   , -   , -   , -   , -   , -   ," 2,802.69 "," 2,654.92 "," 3,127.67 "," 3,233.58 "," 2,224.30 ", -   , -   
EPS, -   , -   , -   , -   , -   , -   , 32.59 , 30.87 , 36.37 , 36.86 , 12.68 , -   , -   
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 9.86 , 18.13 , 18.13 , 14.00 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 363.55 , 229.85 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.81%,20.34%,32.03%,36.62%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,41.11%,42.60%,42.60%,41.11%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 14.00 , 14.00 , 14.00 , 14.00 , 18.13 , 18.13 , 14.00 
