KIRLOSKAR OIL ENGINES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 29.13 , 29.13 , 29.13 , 28.92 , 28.92 , 28.92 , 28.92 , 28.92 , 28.92 
Reserves, -   , 651.28 , 860.28 ," 1,003.52 "," 1,125.33 "," 1,238.31 "," 1,312.52 "," 1,414.74 "," 1,587.79 "," 1,608.42 "
Borrowings, -   , 269.60 , 248.99 , 168.96 , -   , -   , -   , 7.17 , 12.45 , 16.50 
Other Liabilities, -   , 624.93 , 622.27 , 584.19 , 611.80 , 604.63 , 613.30 , 536.27 , 561.29 , 630.06 
Total, -   ," 1,574.94 "," 1,760.67 "," 1,785.80 "," 1,766.05 "," 1,871.86 "," 1,954.74 "," 1,987.10 "," 2,190.45 "," 2,283.90 "
,,,,,,,,,,
Net Block, -   , 562.65 , 590.65 , 575.81 , 591.48 , 543.01 , 513.60 , 475.01 , 439.62 , 422.32 
Capital Work in Progress, -   , 12.40 , 8.57 , 15.52 , 26.88 , 41.97 , 21.31 , 29.26 , 14.91 , 30.18 
Investments, -   , 200.09 , 297.75 , 527.43 , 417.61 , 607.71 , 876.31 , 792.62 , 989.83 , 930.62 
Other Assets, -   , 799.80 , 863.70 , 667.04 , 730.08 , 679.17 , 543.52 , 690.21 , 746.09 , 900.78 
Total, -   ," 1,574.94 "," 1,760.67 "," 1,785.80 "," 1,766.05 "," 1,871.86 "," 1,954.74 "," 1,987.10 "," 2,190.45 "," 2,283.90 "
,,,,,,,,,,
Working Capital, -   , 174.87 , 241.43 , 82.85 , 118.28 , 74.54 , (69.78), 153.94 , 184.80 , 270.72 
Debtors, -   , 385.44 , 381.70 , 298.94 , 288.66 , 177.36 , 52.62 , 159.34 , 200.97 , 325.99 
Inventory, -   , 140.30 , 138.03 , 132.23 , 188.54 , 166.82 , 171.60 , 205.79 , 226.09 , 264.59 
,,,,,,,,,,
Debtor Days, -   , 63.42 , 57.50 , 46.90 , 44.70 , 27.91 , 7.66 , 23.61 , 27.47 , 42.02 
Inventory Turnover, -   , 15.81 , 17.55 , 17.59 , 12.50 , 13.90 , 14.61 , 11.97 , 11.81 , 10.70 
,,,,,,,,,,
Return on Equity,,24%,20%,19%,17%,14%,11%,11%,11%,9%
Return on Capital Emp,,58%,25%,25%,23%,20%,16%,15%,17%,14%
,,,,,,,,,,
