ASTRAZENECA PHARMA INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 
Reserves, 111.15 , 139.52 , 174.69 , 184.28 , 94.75 , 166.60 , 145.76 , 151.01 , 217.87 , 241.93 
Borrowings, 62.50 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 112.13 , 91.40 , 130.66 , 156.96 , 206.35 , 243.98 , 260.83 , 246.98 , 195.96 , 215.38 
Total, 290.78 , 235.92 , 310.35 , 346.24 , 306.10 , 415.58 , 411.59 , 402.99 , 418.83 , 462.31 
,,,,,,,,,,
Net Block, 30.36 , 30.02 , 27.46 , 31.69 , 24.54 , 94.22 , 100.99 , 97.36 , 86.84 , 75.46 
Capital Work in Progress, 0.09 , 0.32 , 23.93 , 58.49 , 73.70 , 9.31 , 12.21 , 6.31 , 4.81 , 3.57 
Investments, 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , -   , -   , -   , -   , -   
Other Assets, 260.32 , 205.57 , 258.95 , 256.05 , 207.85 , 312.05 , 298.39 , 299.32 , 327.18 , 383.28 
Total, 290.78 , 235.92 , 310.35 , 346.24 , 306.10 , 415.58 , 411.59 , 402.99 , 418.83 , 462.31 
,,,,,,,,,,
Working Capital, 148.19 , 114.17 , 128.29 , 99.09 , 1.50 , 68.07 , 37.56 , 52.34 , 131.22 , 167.90 
Debtors, 50.13 , 68.21 , 43.71 , 32.30 , 27.96 , 52.93 , 42.77 , 83.14 , 43.00 , 54.63 
Inventory, 34.01 , 35.20 , 57.20 , 75.10 , 85.37 , 95.76 , 86.13 , 76.73 , 57.71 , 113.15 
,,,,,,,,,,
Debtor Days, 51.78 , 62.78 , 26.85 , 22.19 , 26.14 , 40.77 , 30.19 , 53.83 , 28.87 , 34.92 
Inventory Turnover, 10.39 , 11.27 , 10.39 , 7.08 , 4.57 , 4.95 , 6.00 , 7.35 , 9.42 , 5.05 
,,,,,,,,,,
Return on Equity,64%,40%,36%,10%,-90%,0%,-14%,3%,9%,10%
Return on Capital Emp,,55%,62%,16%,-49%,0%,-13%,4%,19%,19%
,,,,,,,,,,
