BIRLA CABLE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 118.11 , 98.67 , 66.41 , 75.10 , 123.80 , 290.59 , 263.90 , 249.79 , 211.09 , 325.05 , 502.31 , 502.31 , 361.19 
Expenses, 119.75 , 93.08 , 68.78 , 73.51 , 112.68 , 255.47 , 234.83 , 223.39 , 197.56 , 290.38 , 423.30 , 423.30 , 330.05 
Operating Profit, (1.64), 5.59 , (2.37), 1.59 , 11.12 , 35.12 , 29.07 , 26.40 , 13.53 , 34.67 , 79.01 , 79.01 , 31.13 
Other Income, 1.57 , 1.73 , 3.70 , 2.26 , 3.14 , 1.86 , 3.69 , (2.12), 3.16 , 1.17 , 2.65 , -   , -   
Depreciation, 3.71 , 3.59 , 3.65 , 3.80 , 3.65 , 4.64 , 5.98 , 7.17 , 7.73 , 7.94 , 10.53 , 10.53 , 10.53 
Interest, 1.93 , 1.45 , 2.06 , 4.90 , 4.95 , 8.87 , 8.30 , 6.52 , 3.48 , 3.88 , 4.87 , 4.87 , 4.87 
Profit before tax, (5.71), 2.28 , (4.38), (4.85), 5.68 , 23.47 , 18.46 , 10.59 , 5.49 , 24.02 , 66.26 , 63.61 , 15.73 
Tax, 0.04 , -   , -   , (0.03), -   , 4.23 , 5.97 , 2.11 , 2.15 , 7.89 , 19.23 ,29%,29%
Net profit, (5.75), 2.28 , (4.38), (4.82), 5.69 , 19.24 , 12.50 , 8.48 , 3.33 , 16.13 , 47.04 , 45.15 , 11.17 
EPS, (1.92), 0.76 , (1.46), (1.61), 1.90 , 6.41 , 4.17 , 2.83 , 1.11 , 5.38 , 15.68 , 15.05 , 3.72 
Price to earning, (4.31), 22.81 , (13.11), (6.11), 5.24 , 4.48 , 14.54 , 12.32 , 41.11 , 15.30 , 7.66 , 19.10 , 7.66 
Price, 8.25 , 17.33 , 19.14 , 9.82 , 9.94 , 28.71 , 60.57 , 34.83 , 45.63 , 82.27 , 120.15 , 287.41 , 28.52 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,15.59%,24.00%,35.38%,0.00%,18.60%,,,
OPM,0.00%,5.67%,0.00%,2.12%,8.98%,12.09%,11.02%,10.57%,6.41%,10.67%,15.73%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.91%,25.47%,21.30%,7.19%,54.53%,54.53%,7.19%
,,,,,,OPM,8.62%,9.84%,10.35%,9.49%,15.73%,15.73%,8.62%
,,,,,,Price to Earning, 15.43 , 14.38 , 15.90 , 19.10 , 7.66 , 19.10 , 7.66 
