BF UTILITIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 17.59 , 16.17 , 23.29 , 36.40 , 27.93 , 23.47 , 19.07 , 5.21 , 21.25 , 14.85 , 17.80 , 17.80 , 12.74 
Expenses, 8.79 , 10.48 , 9.61 , 10.84 , 13.15 , 11.87 , 8.62 , 3.63 , 7.40 , 11.27 , 16.87 , 9.61 , 12.07 
Operating Profit, 8.80 , 5.69 , 13.68 , 25.56 , 14.78 , 11.60 , 10.45 , 1.58 , 13.85 , 3.58 , 0.93 , 8.19 , 0.67 
Other Income, 1.86 , (1.23), 0.07 , 0.72 , 1.68 , 1.73 , 4.24 , 0.04 , 4.10 , 18.40 , 31.95 , -   , -   
Depreciation, 6.11 , 6.10 , 6.08 , 6.09 , 6.13 , 6.11 , 4.79 , 1.94 , 3.87 , 3.86 , 3.85 , 3.85 , 3.85 
Interest, 3.90 , 1.50 , 3.40 , 4.23 , 4.03 , 5.84 , 5.61 , 0.41 , 5.85 , 3.57 , 2.44 , 2.44 , 2.44 
Profit before tax, 0.65 , (3.14), 4.27 , 15.97 , 6.30 , 1.38 , 4.29 , (0.73), 8.22 , 14.55 , 26.59 , 1.90 , (5.62)
Tax, 0.34 , 0.31 , 6.54 , 2.91 , 1.41 , 0.08 , (1.02), 0.28 , 0.92 , (1.27), (0.58),-2%,-2%
Net profit, 0.31 , (3.45), (2.27), 13.06 , 4.89 , 1.29 , 5.31 , (1.01), 7.30 , 15.82 , 27.16 , 1.94 , (5.75)
EPS, 0.08 , (0.92), (0.60), 3.47 , 1.30 , 0.34 , 1.41 , (0.27), 1.94 , 4.20 , 7.21 , 0.52 , (1.53)
Price to earning," 7,924.60 "," (1,097.33)", (758.19), 113.93 , 140.79 ," 1,798.97 ", 364.90 ," (2,147.09)", 233.75 , 97.50 , 30.26 , 120.50 , 30.26 
Price, 652.19 ," 1,005.05 ", 456.92 , 395.01 , 182.78 , 616.09 , 514.40 , 575.71 , 453.01 , 409.48 , 218.20 , 62.16 , (46.17)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,50.03%,35.19%,58.74%,70.22%,52.92%,49.42%,54.80%,30.33%,65.18%,24.11%,5.22%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-1.86%,-6.23%,-11.87%,-8.00%,19.87%,19.87%,-11.87%
,,,,,,OPM,53.39%,54.93%,48.97%,46.02%,5.22%,46.02%,5.22%
,,,,,,Price to Earning," 1,338.09 ", 397.16 , 505.08 , 120.50 , 30.26 , 120.50 , 30.26 
