HINDUSTAN MOTORS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 597.76 , 574.04 , 654.79 , 494.26 , 722.90 , 182.78 , 15.10 , 0.81 , 1.13 , (3.30), 0.54 , 0.54 , (4.17)
Expenses, 706.24 , 686.22 , 718.98 , 593.35 , 841.76 , 227.55 , 52.94 , 22.13 , 17.52 , 15.84 , 9.83 , 0.54 , (4.17)
Operating Profit, (108.48), (112.18), (64.19), (99.09), (118.86), (44.77), (37.84), (21.32), (16.39), (19.14), (9.29), -   , -   
Other Income, 64.65 , 65.69 , 107.05 , 107.75 , 91.75 , 108.94 , 5.88 , 1.53 , 12.23 , 88.35 , 9.49 , -   , -   
Depreciation, 20.66 , 17.64 , 16.74 , 21.79 , 21.97 , 8.44 , 2.10 , 1.89 , 1.56 , 1.43 , 1.31 , 1.31 , 1.31 
Interest, 12.35 , 11.04 , 29.94 , 20.29 , 30.89 , 56.45 , 7.82 , 10.36 , 10.30 , 8.80 , 2.34 , 2.34 , 2.34 
Profit before tax, (42.53), (33.27), (3.82), (33.40), (79.98), (0.70), (41.90), (32.04), (16.03), 62.27 , (3.45), (3.65), (3.65)
Tax, (3.67), 17.83 , (4.57), (3.45), (8.78), 2.37 , -   , -   , -   , 5.69 , 0.61 ,0%,0%
Net profit, (38.86), (51.10), 0.75 , (29.96), (71.20), (3.07), (41.90), (32.04), (16.03), 56.58 , (4.06), (3.65), (3.65)
EPS, (1.20), (1.58), 0.05 , (1.73), (3.84), (0.17), (2.00), (1.53), (0.77), 2.71 , (0.19), (0.17), (0.17)
Price to earning, (13.25), (15.33), 419.11 , (5.68), (2.08), (47.40), (3.46), (3.40), (12.65), 2.83 , -   , 2.83 , -   
Price, 15.93 , 24.24 , 19.45 , 9.82 , 7.98 , 7.86 , 6.93 , 5.21 , 9.70 , 7.66 , 7.25 , (0.50), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-156.12%,-146.96%,-134.03%,-160.23%,-116.36%,-116.36%,-160.23%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 210.97 , 2.83 , 2.83 , 2.83 , -   , 2.83 , -   
