BALAXI VENTURES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-06,Mar-07,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.05 , 0.05 , 0.70 , 0.70 , 0.70 , 3.04 , 3.04 , 3.04 , 3.04 
Reserves, -   , 0.36 , 0.37 , 0.08 , 0.05 , 0.08 , 0.18 , 0.11 , (0.72), (1.49)
Borrowings, -   , -   , -   , 0.22 , 0.16 , 0.18 , -   , 0.20 , -   , -   
Other Liabilities, -   , 0.02 , 0.01 , 0.18 , 0.33 , 0.24 , 0.46 , 0.22 , 0.05 , 0.13 
Total, -   , 0.43 , 0.43 , 1.18 , 1.24 , 1.20 , 3.68 , 3.57 , 2.37 , 1.68 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , 0.10 , 0.10 , 0.48 , 0.47 , 0.19 , 3.42 , 3.29 , -   , -   
Other Assets, -   , 0.33 , 0.33 , 0.70 , 0.77 , 1.01 , 0.26 , 0.28 , 2.37 , 1.67 
Total, -   , 0.43 , 0.43 , 1.18 , 1.24 , 1.20 , 3.68 , 3.57 , 2.37 , 1.68 
,,,,,,,,,,
Working Capital, -   , 0.31 , 0.32 , 0.52 , 0.44 , 0.77 , (0.20), 0.06 , 2.32 , 1.54 
Debtors, -   , -   , -   , -   , 0.03 , 0.29 , 0.01 , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 219.00 , 756.07 , 30.42 , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,2%,2%,15%,5%,14%,3%,-3%,-7%,-50%
Return on Capital Emp,,5%,2%,20%,6%,17%,8%,-2%,-5%,-40%
,,,,,,,,,,
