KARUR VYSYA BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 53.95 , 54.44 , 94.49 , 107.18 , 107.18 , 107.18 , 121.63 , 121.86 , 121.86 , 145.33 
Reserves," 1,296.21 "," 1,565.54 "," 2,020.05 "," 2,601.04 "," 2,978.01 "," 3,219.16 "," 4,124.40 "," 4,451.09 "," 4,913.83 "," 6,118.86 "
Borrowings," 15,124.43 "," 19,747.73 "," 25,251.74 "," 34,084.15 "," 42,652.32 "," 47,050.89 "," 47,591.02 "," 52,973.14 "," 55,395.46 "," 59,271.76 "
Other Liabilities, 586.15 , 575.28 , 868.24 , 853.43 ," 1,009.27 "," 1,254.26 "," 1,371.55 "," 1,517.46 "," 1,487.60 "," 1,497.47 "
Total," 17,060.74 "," 21,942.99 "," 28,234.52 "," 37,645.80 "," 46,746.78 "," 51,631.49 "," 53,208.60 "," 59,063.55 "," 61,918.75 "," 67,033.42 "
,,,,,,,,,,
Net Block, 115.69 , 135.06 , 196.66 , 244.37 , 320.41 , 375.94 , 394.51 , 416.54 , 410.94 , 474.70 
Capital Work in Progress, -   , 2.75 , 13.91 , 0.48 , 1.70 , 8.76 , 16.66 , 3.58 , 7.67 , 53.49 
Investments," 4,715.98 "," 6,602.16 "," 7,731.76 "," 10,506.09 "," 13,837.26 "," 13,247.00 "," 12,375.15 "," 14,442.67 "," 14,857.48 "," 15,803.21 "
Other Assets," 12,229.07 "," 15,203.02 "," 20,292.19 "," 26,894.86 "," 32,587.41 "," 37,999.79 "," 40,422.28 "," 44,200.76 "," 46,642.66 "," 50,702.02 "
Total," 17,060.74 "," 21,942.99 "," 28,234.52 "," 37,645.80 "," 46,746.78 "," 51,631.49 "," 53,208.60 "," 59,063.55 "," 61,918.75 "," 67,033.42 "
,,,,,,,,,,
Working Capital," 11,642.92 "," 14,627.74 "," 19,423.95 "," 26,041.43 "," 31,578.14 "," 36,745.53 "," 39,050.73 "," 42,683.30 "," 45,155.06 "," 49,204.55 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,17%,21%,20%,19%,18%,13%,11%,12%,12%,6%
Return on Capital Emp,,9%,8%,9%,9%,9%,9%,8%,8%,6%
,,,,,,,,,,
