MAHESHWARI LOGISTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 4.44 , 4.44 , 4.87 , 5.21 , 5.40 , 14.80 , 14.80 
Reserves, -   , -   , -   , 19.99 , 23.74 , 33.21 , 42.43 , 53.51 , 77.32 , 88.08 
Borrowings, -   , -   , -   , 41.44 , 36.62 , 41.37 , 35.07 , 53.48 , 73.71 , 129.78 
Other Liabilities, -   , -   , -   , 28.34 , 54.71 , 72.90 , 84.37 , 105.34 , 176.20 , 107.40 
Total, -   , -   , -   , 94.21 , 119.51 , 152.35 , 167.08 , 217.73 , 342.03 , 340.06 
,,,,,,,,,,
Net Block, -   , -   , -   , 13.73 , 12.60 , 11.35 , 11.73 , 17.13 , 32.84 , 63.75 
Capital Work in Progress, -   , -   , -   , 2.69 , 0.74 , 0.83 , 0.07 , 1.88 , 0.46 , 5.04 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , 77.79 , 106.17 , 140.17 , 155.28 , 198.72 , 308.73 , 271.27 
Total, -   , -   , -   , 94.21 , 119.51 , 152.35 , 167.08 , 217.73 , 342.03 , 340.06 
,,,,,,,,,,
Working Capital, -   , -   , -   , 49.45 , 51.46 , 67.27 , 70.91 , 93.38 , 132.53 , 163.87 
Debtors, -   , -   , -   , 62.57 , 73.89 , 114.62 , 131.68 , 137.99 , 220.58 , 161.50 
Inventory, -   , -   , -   , 4.19 , 18.42 , 12.82 , 5.48 , 13.44 , 34.89 , 59.35 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 69.89 , 79.40 , 100.96 , 90.09 , 83.83 , 109.39 , 67.96 
Inventory Turnover, -   , -   , -   , 77.99 , 18.44 , 32.32 , 97.35 , 44.70 , 21.10 , 14.61 
,,,,,,,,,,
Return on Equity,,,,6%,15%,14%,12%,12%,11%,11%
Return on Capital Emp,,,,26%,19%,20%,21%,22%,18%,16%
,,,,,,,,,,
