JINDAL SAW LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 5,003.18 "," 6,777.46 "," 4,193.94 "," 5,197.90 "," 5,616.70 "," 5,509.59 "," 6,603.63 "," 6,119.61 "," 5,678.32 "," 7,281.55 "," 9,807.68 "," 9,807.68 "," 7,606.29 "
Expenses," 4,303.62 "," 5,511.99 "," 3,363.36 "," 4,557.23 "," 5,013.80 "," 4,890.08 "," 5,654.98 "," 5,241.67 "," 4,793.87 "," 6,238.70 "," 8,534.08 "," 8,365.67 "," 6,618.56 "
Operating Profit, 699.56 ," 1,265.47 ", 830.58 , 640.67 , 602.90 , 619.51 , 948.65 , 877.94 , 884.45 ," 1,042.85 "," 1,273.60 "," 1,442.01 ", 987.73 
Other Income, 32.48 , 60.37 , 62.54 , (54.11), (31.93), 10.24 , 46.68 , 101.27 , 237.00 , 208.32 , 244.91 , -   , -   
Depreciation, 70.58 , 131.27 , 136.67 , 149.66 , 154.95 , 212.75 , 204.88 , 227.20 , 229.40 , 256.17 , 281.42 , 281.42 , 281.42 
Interest, 197.55 , 226.95 , 150.99 , 113.93 , 150.08 , 226.19 , 326.31 , 494.47 , 379.87 , 415.11 , 496.11 , 496.11 , 496.11 
Profit before tax, 463.91 , 967.62 , 605.46 , 322.97 , 265.93 , 190.79 , 464.16 , 257.55 , 512.17 , 579.88 , 740.98 , 664.48 , 210.20 
Tax, 121.58 , 244.45 , 141.39 , 98.78 , 72.51 , 46.52 , 178.76 , 36.22 , 204.47 , 194.09 , 240.91 ,33%,33%
Net profit, 342.33 , 723.17 , 464.07 , 224.19 , 193.41 , 144.27 , 285.40 , 221.33 , 307.70 , 385.80 , 500.07 , 448.45 , 141.86 
EPS, 13.14 , 26.43 , 16.80 , 8.12 , 7.00 , 5.22 , 9.84 , 7.27 , 9.62 , 12.07 , 15.64 , 14.02 , 4.44 
Price to earning, 3.00 , 7.40 , 10.92 , 18.59 , 11.05 , 10.59 , 6.43 , 5.56 , 8.50 , 10.57 , 5.89 , 7.63 , 5.89 
Price, 39.42 , 195.64 , 183.37 , 150.85 , 77.37 , 55.29 , 63.27 , 40.42 , 81.83 , 127.49 , 92.05 , 107.00 , 26.11 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,7.61%,4.73%,5.95%,12.32%,14.29%,19.15%,10.16%,13.76%,10.39%,9.95%,,,
OPM,13.98%,18.67%,19.80%,12.33%,10.73%,11.24%,14.37%,14.35%,15.58%,14.32%,12.99%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.26%,8.20%,5.33%,3.31%,34.69%,34.69%,3.31%
,,,,,,OPM,14.51%,13.37%,14.02%,14.70%,12.99%,14.70%,12.99%
,,,,,,Price to Earning, 8.95 , 9.65 , 7.92 , 7.63 , 5.89 , 7.63 , 5.89 
