GTPL HATHWAY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 282.10 , 341.91 , 444.86 , 470.25 , 490.74 , 612.76 , 738.95 , 818.79 , 891.13 , 872.08 
Expenses, -   , -   , -   , 219.97 , 256.72 , 320.95 , 353.48 , 373.27 , 432.82 , 518.97 , 595.21 , 640.88 , 638.59 
Operating Profit, -   , -   , -   , 62.13 , 85.19 , 123.91 , 116.77 , 117.47 , 179.94 , 219.98 , 223.58 , 250.24 , 233.49 
Other Income, -   , -   , -   , 0.38 , 1.08 , 1.37 , 3.07 , 5.60 , 25.29 , 12.56 , (31.03), -   , -   
Depreciation, -   , -   , -   , 12.70 , 22.32 , 51.37 , 58.76 , 68.19 , 93.39 , 109.46 , 125.21 , 125.21 , 125.21 
Interest, -   , -   , -   , 10.05 , 16.11 , 31.91 , 34.36 , 38.49 , 55.65 , 33.61 , 38.84 , 38.84 , 38.84 
Profit before tax, -   , -   , -   , 39.77 , 47.85 , 42.01 , 26.73 , 16.39 , 56.19 , 89.46 , 28.50 , 86.19 , 69.44 
Tax, -   , -   , -   , 12.06 , 16.49 , 15.25 , 9.43 , 1.50 , 16.10 , 30.40 , 14.03 ,49%,49%
Net profit, -   , -   , -   , 27.72 , 31.37 , 26.78 , 17.29 , 14.89 , 40.09 , 59.07 , 14.47 , 43.76 , 35.26 
EPS, -   , -   , -   , 2.85 , 3.21 , 2.73 , 1.77 , 1.51 , 4.08 , 5.25 , 1.29 , 3.89 , 3.14 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 29.77 , 52.89 , 52.89 , 41.33 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 156.37 , 68.05 , 205.80 , 129.57 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.29%,24.54%,19.05%,,,
OPM,0.00%,0.00%,0.00%,22.02%,24.92%,27.85%,24.83%,23.94%,29.37%,29.77%,27.31%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,16.67%,16.26%,20.59%,20.59%,16.26%
,,,,,,OPM,26.77%,26.77%,27.49%,28.08%,27.31%,28.08%,26.77%
,,,,,,Price to Earning, 41.33 , 41.33 , 41.33 , 41.33 , 52.89 , 52.89 , 41.33 
