EASTERN SILK INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 510.04 , 543.93 , 636.79 , 94.34 , 75.85 , 79.63 , 61.02 , 70.47 , 63.42 , 51.49 , 55.88 , 55.88 , 34.62 
Expenses, 470.39 , 505.05 , 665.89 , 82.26 , 146.89 , 175.07 , 85.77 , 144.00 , 127.65 , 80.17 , 86.20 , 55.88 , 34.62 
Operating Profit, 39.65 , 38.88 , (29.10), 12.08 , (71.04), (95.44), (24.75), (73.53), (64.23), (28.68), (30.32), -   , -   
Other Income, 23.30 , 12.00 , 19.46 , (64.72), 18.24 , 23.23 , 10.43 , 65.80 , 120.38 , 59.65 , 60.13 , -   , -   
Depreciation, 16.47 , 15.34 , 24.67 , 21.23 , 17.82 , 15.68 , 20.23 , 13.79 , 10.66 , 8.76 , 7.60 , 7.60 , 7.60 
Interest, 27.36 , 28.69 , 34.66 , 42.88 , 46.67 , 48.56 , 2.35 , 0.30 , 1.36 , 1.17 , 1.12 , 1.12 , 1.12 
Profit before tax, 19.12 , 6.85 , (68.78), (116.69), (117.28), (136.45), (36.88), (21.83), 44.14 , 21.04 , 21.09 , (8.72), (8.72)
Tax, (0.09), 1.12 , (10.84), (25.09), (21.93), -   , -   , -   , 0.07 , -   , -   ,0%,0%
Net profit, 19.21 , 5.73 , (57.94), (91.60), (95.36), (136.45), (36.88), (21.83), 44.06 , 21.03 , 21.11 , (8.72), (8.72)
EPS, 2.43 , 0.72 , (7.32), (11.58), (12.05), (17.25), (4.66), (2.76), 5.57 , 2.66 , 2.67 , (1.10), (1.10)
Price to earning, 4.11 , 21.31 , (1.36), (0.34), (0.18), (0.09), (0.46), (0.89), 0.43 , 1.41 , 0.64 , 0.82 , 0.64 
Price, 9.97 , 15.43 , 9.93 , 3.89 , 2.11 , 1.48 , 2.14 , 2.45 , 2.39 , 3.75 , 1.70 , (0.91), (0.70)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.22%,16.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,7.77%,7.15%,0.00%,12.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-22.49%,-30.18%,-7.45%,-5.50%,8.53%,8.53%,-30.18%
,,,,,,OPM,4.14%,2.43%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 5.58 , 0.82 , 0.82 , 0.82 , 0.64 , 0.82 , 0.64 
