ADLABS ENTERTAINMENT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 103.80 , 189.42 , 233.98 , 239.08 , 236.29 , 240.38 , 254.36 , 240.45 
Expenses, -   , -   , 0.01 , 0.58 , 6.05 , 99.96 , 168.89 , 193.85 , 178.13 , 173.58 , 193.09 , 195.63 , 195.32 
Operating Profit, -   , -   , (0.01), (0.58), (6.05), 3.84 , 20.53 , 40.13 , 60.95 , 62.71 , 47.29 , 58.73 , 45.13 
Other Income, -   , -   , -   , -   , 3.56 , 2.84 , 1.83 , 16.68 , 0.42 , 0.95 , 6.30 , -   , -   
Depreciation, -   , -   , -   , -   , 0.01 , 30.52 , 79.75 , 87.71 , 94.47 , 92.42 , 101.78 , 101.78 , 101.78 
Interest, -   , -   , -   , -   , -   , 42.53 , 114.57 , 110.61 , 119.89 , 126.42 , 133.84 , 133.84 , 133.84 
Profit before tax, -   , -   , (0.01), (0.58), (2.51), (66.36), (171.96), (141.52), (153.00), (155.17), (182.03), (176.89), (190.49)
Tax, -   , -   , -   , 0.08 , (0.74), (13.61), (64.80), (50.39), (35.87), -   , 165.41 ,0%,0%
Net profit, -   , -   , (0.01), (0.66), (1.76), (52.76), (107.16), (91.13), (117.14), (155.17), (347.43), (176.89), (190.49)
EPS, -   , -   , (0.00), (0.16), (0.38), (10.89), (13.41), (11.41), (14.66), (17.62), (39.45), (20.09), (21.63)
Price to earning,  ,  ,  ,  ,  ,  , (12.13), (7.67), (5.74), (3.02), -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , 162.71 , 87.50 , 84.10 , 53.17 , 7.75 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,10.84%,17.15%,25.49%,26.54%,19.67%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,7.65%,1.73%,7.65%,1.73%
,,,,,,OPM,18.77%,18.77%,18.77%,23.09%,19.67%,23.09%,18.77%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
