FINOLEX INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 124.01 , 124.01 , 124.04 , 124.09 , 124.09 , 124.10 , 124.10 , 124.10 , 124.10 , 124.10 
Reserves, 375.95 , 463.67 , 496.27 , 538.02 , 597.08 , 665.59 , 663.30 ," 1,445.75 "," 2,167.30 "," 2,640.47 "
Borrowings, 812.40 , 833.51 , 746.73 ," 1,042.29 ", 839.46 , 713.42 , 637.06 , 211.55 , 94.18 , 100.71 
Other Liabilities, 338.82 , 481.47 , 562.54 , 378.96 , 442.64 , 437.43 , 440.54 , 594.34 , 599.98 , 642.93 
Total," 1,651.18 "," 1,902.66 "," 1,929.58 "," 2,083.36 "," 2,003.27 "," 1,940.54 "," 1,865.00 "," 2,375.74 "," 2,985.56 "," 3,508.21 "
,,,,,,,,,,
Net Block, 566.01 , 835.63 , 792.47 , 784.02 , 879.53 , 905.22 , 867.77 , 849.65 , 855.13 , 884.24 
Capital Work in Progress, 299.14 , 66.38 , 72.17 , 85.36 , 50.61 , 32.46 , 10.40 , 6.62 , 21.75 , 90.34 
Investments, 264.59 , 326.38 , 207.99 , 493.21 , 359.61 , 221.45 , 179.66 , 817.21 ," 1,222.17 "," 1,555.24 "
Other Assets, 521.44 , 674.27 , 856.95 , 720.77 , 713.52 , 781.41 , 807.17 , 702.26 , 886.51 , 978.39 
Total," 1,651.18 "," 1,902.66 "," 1,929.58 "," 2,083.36 "," 2,003.27 "," 1,940.54 "," 1,865.00 "," 2,375.74 "," 2,985.56 "," 3,508.21 "
,,,,,,,,,,
Working Capital, 182.62 , 192.80 , 294.41 , 341.81 , 270.88 , 343.98 , 366.63 , 107.92 , 286.53 , 335.46 
Debtors, 49.20 , 36.22 , 123.44 , 46.94 , 38.72 , 40.99 , 48.70 , 17.63 , 52.49 , 43.14 
Inventory, 170.65 , 339.75 , 401.31 , 326.32 , 482.78 , 505.95 , 558.65 , 447.22 , 557.40 , 611.55 
,,,,,,,,,,
Debtor Days, 12.03 , 9.09 , 22.78 , 8.16 , 6.59 , 6.10 , 7.18 , 2.26 , 7.36 , 5.75 
Inventory Turnover, 8.75 , 4.28 , 4.93 , 6.43 , 4.44 , 4.85 , 4.43 , 6.36 , 4.67 , 4.48 
,,,,,,,,,,
Return on Equity,-8%,23%,12%,11%,19%,22%,6%,16%,15%,11%
Return on Capital Emp,,16%,13%,11%,15%,20%,10%,26%,26%,17%
,,,,,,,,,,
