ARVIND FASHIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , 847.52 , 767.66 , 847.52 , 847.52 
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   , 753.17 , 707.08 , 753.17 , 780.64 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , 94.35 , 60.58 , 94.35 , 66.88 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.08 , 1.43 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , 11.49 , 11.77 , 11.77 , 11.77 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , 9.94 , 13.17 , 13.17 , 13.17 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , 74.01 , 37.07 , 69.41 , 41.94 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , 20.61 , (12.96),-35%,-35%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , 53.40 , 50.03 , 93.68 , 56.61 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , 9.22 , 8.53 , 15.98 , 9.65 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 96.84 , 96.84 , 96.84 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 826.30 ," 1,547.17 ", 934.90 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.13%,7.89%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,11.13%,11.13%,11.13%,11.13%,7.89%,11.13%,7.89%
,,,,,,Price to Earning, 96.84 , 96.84 , 96.84 , 96.84 , 96.84 , 96.84 , 96.84 
